no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
148	2008-09-12	14:22:20	2008-09-12	14:23:21	90	90	224.846	151.618	38.756	-34.472	38.560	*	*	2008-09-12 14:22:20	2008-09-12 14:23:21	2008-09-12 13:22:20	2008-09-12 13:23:21	2008-09-12 12:22:20	2008-09-12 12:23:21	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20080912/20080912_130754_d4c2B.fts	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20080912/20080912_120754_d4c2B.fts
149	2008-09-14	00:22:20	2008-09-14	02:53:21	270	90	206.235	132.738	38.850	-34.647	38.664	*	*	2008-09-14 00:22:20	2008-09-14 02:53:21	2008-09-13 23:22:20	2008-09-14 01:53:21	2008-09-13 22:22:20	2008-09-14 00:53:21	/gehme/data/stereo/secchi/L0/a/img/cor2/20080913/20080913_230754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20080914/20080914_013754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20080913/20080913_220754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20080914/20080914_005255_d4c2B.fts
150	2008-09-19	*	2008-09-19	10:23:20	*	45	135.053	60.550	39.187	-35.316	39.047	35.062	*		2008-09-19 10:23:20	NaT	2008-09-19 09:23:20	NaT	2008-09-19 08:23:20	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20080919/20080919_090754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20080919/20080919_080754_d4c2B.fts
151	2008-09-20	02:52:20	2008-09-20	*	315	*	126.028	51.399	39.228	-35.401	39.094	35.145	*	2008-09-20 02:52:20		2008-09-20 01:52:20	NaT	2008-09-20 00:52:20	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20080920/20080920_013754_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20080920/20080920_005255_d4c2A.fts	*
152	2008-10-04	08:22:20	2008-10-04	08:23:18	45	90	298.987	221.873	39.968	-37.146	39.979	36.878	*	2008-10-04 08:22:20	2008-10-04 08:23:18	2008-10-04 07:22:20	2008-10-04 07:23:18	2008-10-04 06:22:20	2008-10-04 06:23:18	/gehme/data/stereo/secchi/L0/a/img/cor2/20081004/20081004_070754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081004/20081004_070754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081004/20081004_060754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081004/20081004_060754_d4c2B.fts
153	2008-10-05	20:52:20	2008-10-05	*	270	*	278.990	201.624	40.037	-37.329	40.064	37.064	*	2008-10-05 20:52:20		2008-10-05 19:52:20	NaT	2008-10-05 18:52:20	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20081005/20081005_193754_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20081005/20081005_183754_d4c2A.fts	*
154	2008-10-09	06:52:20	2008-10-09	09:53:16	315	315	234.062	156.139	40.186	-37.737	40.250	*	*	2008-10-09 06:52:20	2008-10-09 09:53:16	2008-10-09 05:52:20	2008-10-09 08:53:16	2008-10-09 04:52:20	2008-10-09 07:53:16	/gehme/data/stereo/secchi/L0/a/img/cor2/20081009/20081009_053754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081009/20081009_083754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081009/20081009_043754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081009/20081009_073754_d4c2B.fts
155	2008-10-12	08:22:20	2008-10-12	*	90	*	193.788	115.376	40.313	-38.099	40.410	37.851	*	2008-10-12 08:22:20		2008-10-12 07:22:20	NaT	2008-10-12 06:22:20	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20081012/20081012_070754_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20081012/20081012_060754_d4c2A.fts	*
156	2008-10-17	09:52:20	2008-10-17	10:53:14	270	90	127.205	48.007	40.511	-38.686	40.659	*	*	2008-10-17 09:52:20	2008-10-17 10:53:14	2008-10-17 08:52:20	2008-10-17 09:53:14	2008-10-17 07:52:20	2008-10-17 08:53:14	/gehme/data/stereo/secchi/L0/a/img/cor2/20081017/20081017_083754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081017/20081017_093754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081017/20081017_073754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081017/20081017_083754_d4c2B.fts
157	2008-10-21	09:53:13	2008-10-21	14:22:20	45/270	315	74.581	354.783	40.656	-39.143	40.841	*	*	2008-10-21 09:53:13	2008-10-21 14:22:20	2008-10-21 08:53:13	2008-10-21 13:22:20	2008-10-21 07:53:13	2008-10-21 12:22:20	/gehme/data/stereo/secchi/L0/a/img/cor2/20081021/20081021_090754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081021/20081021_130754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081021/20081021_080754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081021/20081021_120754_d4c2B.fts
158	2008-10-26	23:52:20	2008-10-26	22:23:11	270	270	1.957	281.356	40.840	-39.760	41.072	39.600	*	2008-10-26 23:52:20	2008-10-26 22:23:11	2008-10-26 22:52:20	2008-10-26 21:23:11	2008-10-26 21:52:20	2008-10-26 20:23:11	/gehme/data/stereo/secchi/L0/a/img/cor2/20081026/20081026_223754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081026/20081026_210754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081026/20081026_213754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081026/20081026_200754_d4c2B.fts
159	2008-10-30	15:22:20	2008-10-30	*	270	*	313.181	232.060	40.956	-40.165	41.214	40.036	*	2008-10-30 15:22:20		2008-10-30 14:22:20	NaT	2008-10-30 13:22:20	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20081030/20081030_140754_d4c2A.fts	*	No img/double data	*
160	2008-11-01	*	2008-11-01	05:23:10	*	90	292.341	211.002	41.004	-40.336	41.271	40.220	*		2008-11-01 05:23:10	NaT	2008-11-01 04:23:10	NaT	2008-11-01 03:23:10	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081101/20081101_040754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081101/20081101_030754_d4c2B.fts
161	2008-11-02	*	2008-11-02	05:23:09	*	270	279.185	197.709	41.033	-40.443	41.307	40.336	*		2008-11-02 05:23:09	NaT	2008-11-02 04:23:09	NaT	2008-11-02 03:23:09	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081102/20081102_040754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081102/20081102_030754_d4c2B.fts
162	2008-11-03	01:22:20	2008-11-03	01:53:09	45	315	268.231	186.642	41.058	-40.531	41.336	*	*	2008-11-03 01:22:20	2008-11-03 01:53:09	2008-11-03 00:22:20	2008-11-03 00:53:09	2008-11-02 23:22:20	2008-11-02 23:53:09	/gehme/data/stereo/secchi/L0/a/img/cor2/20081103/20081103_000754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081103/20081103_005255_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081102/20081102_230754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081102/20081102_233754_d4c2B.fts
165	2008-11-04	*	2008-11-04	04:23:09	*	315	253.421	171.681	41.091	-40.650	41.375	40.562	*		2008-11-04 04:23:09	NaT	2008-11-04 03:23:09	NaT	2008-11-04 02:23:09	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081104/20081104_030754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081104/20081104_020754_d4c2B.fts
166	2008-11-07	20:22:20	2008-11-07	21:23:08	270	315	205.191	122.965	41.196	-41.030	41.497	*	*	2008-11-07 20:22:20	2008-11-07 21:23:08	2008-11-07 19:22:20	2008-11-07 20:23:08	2008-11-07 18:22:20	2008-11-07 19:23:08	/gehme/data/stereo/secchi/L0/a/img/cor2/20081107/20081107_190754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081107/20081107_200754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081107/20081107_180754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081107/20081107_190754_d4c2B.fts
167	2008-11-13	16:22:20	2008-11-13	15:23:06	225	135	128.985	46.017	41.357	-41.611	41.673	*	*	2008-11-13 16:22:20	2008-11-13 15:23:06	2008-11-13 15:22:20	2008-11-13 14:23:06	2008-11-13 14:22:20	2008-11-13 13:23:06	/gehme/data/stereo/secchi/L0/a/img/cor2/20081113/20081113_150754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081113/20081113_140754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081113/20081113_140754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081113/20081113_130754_d4c2B.fts
171	2008-11-20	14:52:20	2008-11-20	14:53:03	45	315	37.177	313.353	41.543	-42.281	41.860	42.365	*	2008-11-20 14:52:20	2008-11-20 14:53:03	2008-11-20 13:52:20	2008-11-20 13:53:03	2008-11-20 12:52:20	2008-11-20 12:53:03	/gehme/data/stereo/secchi/L0/a/img/cor2/20081120/20081120_133754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081120/20081120_133754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081120/20081120_123754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081120/20081120_123754_d4c2B.fts
172	2008-11-23	22:22:20	2008-11-24	04:23:02	270	270	353.601	269.385	41.628	-42.588	41.939	*	*	2008-11-23 22:22:20	2008-11-24 04:23:02	2008-11-23 21:22:20	2008-11-24 03:23:02	2008-11-23 20:22:20	2008-11-24 02:23:02	/gehme/data/stereo/secchi/L0/a/img/cor2/20081123/20081123_210754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081124/20081124_030754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081123/20081123_200754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081124/20081124_020754_d4c2B.fts
173	2008-11-29	*	2008-11-29	13:23:00	*	90	279.598	194.736	41.769	-43.093	42.059	43.271	*		2008-11-29 13:23:00	NaT	2008-11-29 12:23:00	NaT	2008-11-29 11:23:00	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081129/20081129_120754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081129/20081129_110754_d4c2B.fts
174	2008-12-07	*	2008-12-07	01:22:57	*	90	180.961	95.274	41.957	-43.730	42.202	43.977	*		2008-12-07 01:22:57	NaT	2008-12-07 00:22:57	NaT	2008-12-06 23:22:57	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081207/20081207_000754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20081206/20081206_230754_d4c2B.fts
175	2008-12-08	17:22:20	2008-12-08	*	315	*	159.041	73.177	41.999	-43.865	42.232	44.127	*	2008-12-08 17:22:20		2008-12-08 16:22:20	NaT	2008-12-08 15:22:20	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20081208/20081208_160754_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20081208/20081208_150754_d4c2A.fts	*
176	2008-12-12	08:22:20	2008-12-12	08:22:55	90	270	111.369	25.125	42.092	-44.152	42.294	*	*	2008-12-12 08:22:20	2008-12-12 08:22:55	2008-12-12 07:22:20	2008-12-12 07:22:55	2008-12-12 06:22:20	2008-12-12 06:22:55	/gehme/data/stereo/secchi/L0/a/img/cor2/20081212/20081212_070754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081212/20081212_070754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081212/20081212_060754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081212/20081212_060754_d4c2B.fts
177	2008-12-16	08:22:20	2008-12-16	08:22:54	90	90	58.770	332.118	42.194	-44.457	42.360	44.773	*	2008-12-16 08:22:20	2008-12-16 08:22:54	2008-12-16 07:22:20	2008-12-16 07:22:54	2008-12-16 06:22:20	2008-12-16 06:22:54	/gehme/data/stereo/secchi/L0/a/img/cor2/20081216/20081216_070754_d4c2A.fts	No img/double data	/gehme/data/stereo/secchi/L0/a/img/cor2/20081216/20081216_060754_d4c2A.fts	No img/double data
178	2008-12-20	20:22:20	2008-12-20	12:52:53	270	45	3.710	276.644	42.301	-44.765	*	*	*	2008-12-20 20:22:20	2008-12-20 12:52:53	2008-12-20 19:22:20	2008-12-20 11:52:53	2008-12-20 18:22:20	2008-12-20 10:52:53	/gehme/data/stereo/secchi/L0/a/img/cor2/20081220/20081220_190754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081220/20081220_113754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081220/20081220_180754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081220/20081220_103754_d4c2B.fts
179	2008-12-27	06:52:20	2008-12-27	10:52:50	45	315	274.968	187.260	42.472	-45.236	42.520	*	*	2008-12-27 06:52:20	2008-12-27 10:52:50	2008-12-27 05:52:20	2008-12-27 09:52:50	2008-12-27 04:52:20	2008-12-27 08:52:50	/gehme/data/stereo/secchi/L0/a/img/cor2/20081227/20081227_053754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081227/20081227_093754_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20081227/20081227_043754_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20081227/20081227_083754_d4c2B.fts
180	2008-12-31	15:52:20	2008-12-31	*	90	*	217.457	129.351	42.583	-45.523	42.582	45.887	*	2008-12-31 15:52:20		2008-12-31 14:52:20	NaT	2008-12-31 13:52:20	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20081231/20081231_143754_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20081231/20081231_133754_d4c2A.fts	*
181	2009-01-05	*	2009-01-05	00:22:20	*	270	160.225	71.736	42.695	-45.793	42.644	46.153	88.797		2009-01-05 00:22:20	NaT	2009-01-04 23:22:20	NaT	2009-01-04 22:22:20	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090104/20090104_230754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090104/20090104_220754_d4c2B.fts
182	2009-01-06	07:22:00	2009-01-06	07:22:27	270	90	143.248	54.649	42.729	-45.870	*	*	*	2009-01-06 07:22:00	2009-01-06 07:22:27	2009-01-06 06:22:00	2009-01-06 06:22:27	2009-01-06 05:22:00	2009-01-06 05:22:27	/gehme/data/stereo/secchi/L0/a/img/cor2/20090106/20090106_065230_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090106/20090106_060730_d4c2B.fts	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20090106/20090106_050730_d4c2B.fts
183	2009-01-07	14:52:00	2009-01-07	*	90	*	125.997	37.287	42.763	-45.947	42.683	46.301	88.984	2009-01-07 14:52:00		2009-01-07 13:52:00	NaT	2009-01-07 12:52:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20090107/20090107_133730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20090107/20090107_123730_d4c2A.fts	*
184	2009-01-08	14:52:00	2009-01-09	01:52:26	90	270	112.855	24.061	42.789	-46.005	42.698	*	*	2009-01-08 14:52:00	2009-01-09 01:52:26	2009-01-08 13:52:00	2009-01-09 00:52:26	2009-01-08 12:52:00	2009-01-08 23:52:26	/gehme/data/stereo/secchi/L0/a/img/cor2/20090108/20090108_133730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090109/20090109_005115_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090108/20090108_123730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090108/20090108_233730_d4c2B.fts
185	2009-01-12	15:22:00	2009-01-13	03:22:25	270	270	60.012	330.889	42.896	-46.227	42.761	46.562	*	2009-01-12 15:22:00	2009-01-13 03:22:25	2009-01-12 14:22:00	2009-01-13 02:22:25	2009-01-12 13:22:00	2009-01-13 01:22:25	/gehme/data/stereo/secchi/L0/a/img/cor2/20090112/20090112_140730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090113/20090113_020730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090112/20090112_130730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090113/20090113_010730_d4c2B.fts
186	2009-01-14	06:22:00	2009-01-14	11:22:00	90	270	38.657	309.405	42.939	-46.313	42.788	*	*	2009-01-14 06:22:00	2009-01-14 11:22:00	2009-01-14 05:22:00	2009-01-14 10:22:00	2009-01-14 04:22:00	2009-01-14 09:22:00	/gehme/data/stereo/secchi/L0/a/img/cor2/20090114/20090114_050730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090114/20090114_100730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090114/20090114_040730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090114/20090114_090730_d4c2B.fts
187	2009-01-15	19:52:00	2009-01-15	18:22:25	270	270	18.945	289.575	42.978	-46.391	42.812	46.709	*	2009-01-15 19:52:00	2009-01-15 18:22:25	2009-01-15 18:52:00	2009-01-15 17:22:25	2009-01-15 17:52:00	2009-01-15 16:22:25	/gehme/data/stereo/secchi/L0/a/img/cor2/20090115/20090115_183730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090115/20090115_170730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090115/20090115_173730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090115/20090115_160730_d4c2B.fts
188	2009-01-17	*	2009-01-17	14:22:24	*	90	354.853	265.342	43.027	-46.484	42.843	46.790	89.633		2009-01-17 14:22:24	NaT	2009-01-17 13:22:24	NaT	2009-01-17 12:22:24	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090117/20090117_130730_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090117/20090117_120730_d4c2B.fts
189	2009-01-20	19:52:00	2009-01-20	15:22:23	270	270	314.883	225.145	43.107	-46.632	42.896	46.916	*	2009-01-20 19:52:00	2009-01-20 15:22:23	2009-01-20 18:52:00	2009-01-20 14:22:23	2009-01-20 17:52:00	2009-01-20 13:22:23	/gehme/data/stereo/secchi/L0/a/img/cor2/20090120/20090120_183730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090120/20090120_140730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090120/20090120_173730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090120/20090120_130730_d4c2B.fts
190	2009-01-21	*	2009-01-21	22:22:23	*	270	297.911	208.078	43.141	-46.692	42.918	46.967	*		2009-01-21 22:22:23	NaT	2009-01-21 21:22:23	NaT	2009-01-21 20:22:23	*	No img/double data	*	No img/double data
191	2009-01-25	*	2009-01-25	12:22:22	*	90	250.826	160.738	43.234	-46.853	42.985	47.096	*		2009-01-25 12:22:22	NaT	2009-01-25 11:22:22	NaT	2009-01-25 10:22:22	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090125/20090125_110730_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090125/20090125_100730_d4c2B.fts
192	2009-01-31	06:22:00	2009-01-31	04:22:21	270	90	176.368	85.900	43.384	-47.084	*	*	*	2009-01-31 06:22:00	2009-01-31 04:22:21	2009-01-31 05:22:00	2009-01-31 03:22:21	2009-01-31 04:22:00	2009-01-31 02:22:21	/gehme/data/stereo/secchi/L0/a/img/cor2/20090131/20090131_050730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090131/20090131_030730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090131/20090131_040730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090131/20090131_020730_d4c2B.fts
193	2009-02-06	09:22:00	2009-02-06	06:22:20	270	270	96.438	5.592	43.549	-47.297	43.239	*	*	2009-02-06 09:22:00	2009-02-06 06:22:20	2009-02-06 08:22:00	2009-02-06 05:22:20	2009-02-06 07:22:00	2009-02-06 04:22:20	/gehme/data/stereo/secchi/L0/a/img/cor2/20090206/20090206_080730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090206/20090206_050730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090206/20090206_070730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090206/20090206_040730_d4c2B.fts
194	2009-02-06	17:22:00	2009-02-06	*	270	*	90.416	359.543	43.562	-47.311	43.251	47.422	90.673	2009-02-06 17:22:00		2009-02-06 16:22:00	NaT	2009-02-06 15:22:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20090206/20090206_160730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20090206/20090206_150730_d4c2A.fts	*
195	2009-02-10	20:52:00	2009-02-11	01:52:19	270/90	225/90	35.944	304.833	43.679	*	*	*	*	2009-02-10 20:52:00	2009-02-11 01:52:19	2009-02-10 19:52:00	2009-02-11 00:52:19	2009-02-10 18:52:00	2009-02-10 23:52:19	/gehme/data/stereo/secchi/L0/a/img/cor2/20090210/20090210_193730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090211/20090211_005115_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090210/20090210_183730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090210/20090210_233730_d4c2B.fts
196	2009-02-12	00:22:00	2009-02-12	00:22:19	270	270	20.888	289.714	43.711	-47.463	43.392	47.509	*	2009-02-12 00:22:00	2009-02-12 00:22:19	2009-02-11 23:22:00	2009-02-11 23:22:19	2009-02-11 22:22:00	2009-02-11 22:22:19	/gehme/data/stereo/secchi/L0/a/img/cor2/20090211/20090211_230730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090211/20090211_230730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090211/20090211_220730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090211/20090211_220730_d4c2B.fts
197	2009-02-13	06:52:00	2009-02-13	*	90	*	4.191	272.948	43.747	-47.495	43.428	47.526	90.953	2009-02-13 06:52:00		2009-02-13 05:52:00	NaT	2009-02-13 04:52:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20090213/20090213_053730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20090213/20090213_043730_d4c2A.fts	*
198	2009-02-18	09:22:00	2009-02-18	15:22:19	90	45/0/315	297.125	205.620	43.895	-47.611	43.581	47.578	*	2009-02-18 09:22:00	2009-02-18 15:22:19	2009-02-18 08:22:00	2009-02-18 14:22:19	2009-02-18 07:22:00	2009-02-18 13:22:19	/gehme/data/stereo/secchi/L0/a/img/cor2/20090218/20090218_080730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090218/20090218_140730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090218/20090218_070730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090218/20090218_130730_d4c2B.fts
199	2009-02-20	22:22:00	2009-02-20	23:22:18	270	270	263.729	172.100	43.970	-47.659	43.662	47.596	*	2009-02-20 22:22:00	2009-02-20 23:22:18	2009-02-20 21:22:00	2009-02-20 22:22:18	2009-02-20 20:22:00	2009-02-20 21:22:18	/gehme/data/stereo/secchi/L0/a/img/cor2/20090220/20090220_210730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090220/20090220_220730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090220/20090220_200730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090220/20090220_210730_d4c2B.fts
200	2009-02-22	*	2009-02-22	12:52:18	*	90	242.651	150.946	44.017	-47.687	43.716	47.604	*		2009-02-22 12:52:18	NaT	2009-02-22 11:52:18	NaT	2009-02-22 10:52:18	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090222/20090222_113730_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090222/20090222_103730_d4c2B.fts
201	2009-02-28	*	2009-02-28	00:22:18	*	270	170.654	78.707	44.186	-47.762	43.911	47.616	*		2009-02-28 00:22:18	NaT	2009-02-27 23:22:18	NaT	2009-02-27 22:22:18	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090227/20090227_230754_d4c2B.fts	*	/gehme/data/stereo/secchi/L0/b/img/cor2/20090227/20090227_220754_d4c2B.fts
202	2009-03-02	23:52:00	2009-03-02	*	90	*	131.507	39.435	44.282	-47.790	44.026	47.612	*	2009-03-02 23:52:00		2009-03-02 22:52:00	NaT	2009-03-02 21:52:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20090302/20090302_223730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20090302/20090302_213730_d4c2A.fts	*
203	2009-03-04	06:22:00	2009-03-04	*	270	*	114.807	22.684	44.324	-47.800	44.077	47.608	*	2009-03-04 06:22:00		2009-03-04 05:22:00	NaT	2009-03-04 04:22:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20090304/20090304_050730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20090304/20090304_040730_d4c2A.fts	*
204	2009-03-06	20:22:00	2009-03-06	20:22:18	270	270	80.860	348.635	44.412	-47.813	44.185	47.597	*	2009-03-06 20:22:00	2009-03-06 20:22:18	2009-03-06 19:22:00	2009-03-06 19:22:18	2009-03-06 18:22:00	2009-03-06 18:22:18	/gehme/data/stereo/secchi/L0/a/img/cor2/20090306/20090306_190730_d4c2A.fts	No img/double data	/gehme/data/stereo/secchi/L0/a/img/cor2/20090306/20090306_180730_d4c2A.fts	No img/double data
205	2009-03-08	00:22:00	2009-03-08	04:22:18	270	45	65.529	333.259	44.453	-47.817	44.236	*	*	2009-03-08 00:22:00	2009-03-08 04:22:18	2009-03-07 23:22:00	2009-03-08 03:22:18	2009-03-07 22:22:00	2009-03-08 02:22:18	/gehme/data/stereo/secchi/L0/a/img/cor2/20090307/20090307_230730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090308/20090308_030730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20090307/20090307_220730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20090308/20090308_020730_d4c2B.fts
