no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
577	2010-12-27	05:08:15	2010-12-27	05:09:03	225/90	270/135	44.026	229.272	85.712	-89.042	*	*	*	2010-12-27 05:08:15	2010-12-27 05:09:03	2010-12-27 04:08:15	2010-12-27 04:09:03	2010-12-27 03:08:15	2010-12-27 03:09:03	/gehme/data/stereo/secchi/L0/a/img/cor2/20101227/20101227_035400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101227/20101227_035400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101227/20101227_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101227/20101227_025400_d4c2B.fts
578	2010-12-29	02:08:15	2010-12-29	05:09:02	315	45	19.390	204.362	85.773	-89.254	85.487	*	*	2010-12-29 02:08:15	2010-12-29 05:09:02	2010-12-29 01:08:15	2010-12-29 04:09:02	2010-12-29 00:08:15	2010-12-29 03:09:02	/gehme/data/stereo/secchi/L0/a/img/cor2/20101229/20101229_005400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101229/20101229_040800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101229/20101229_002400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101229/20101229_025400_d4c2B.fts
579	2010-12-29	23:08:15	2010-12-30	00:09:02	0	0	7.893	192.739	85.801	-89.353	85.504	89.685	*	2010-12-29 23:08:15	2010-12-30 00:09:02	2010-12-29 22:08:15	2010-12-29 23:09:02	2010-12-29 21:08:15	2010-12-29 22:09:02	/gehme/data/stereo/secchi/L0/a/img/cor2/20101229/20101229_223900_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101229/20101229_230800_d4c2B.fts	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20101229/20101229_220800_d4c2B.fts
580	2010-12-30	21:08:15	2010-12-31	03:09:02	45/315	45/315	355.849	180.563	85.830	-89.456	*	*	*	2010-12-30 21:08:15	2010-12-31 03:09:02	2010-12-30 20:08:15	2010-12-31 02:09:02	2010-12-30 19:08:15	2010-12-31 01:09:02	/gehme/data/stereo/secchi/L0/a/img/cor2/20101230/20101230_195400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101231/20101231_020800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101230/20101230_185400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101231/20101231_005400_d4c2B.fts
581	2010-12-31	11:08:15	2010-12-31	13:09:01	315	45	348.184	172.815	85.848	-89.521	85.533	*	*	2010-12-31 11:08:15	2010-12-31 13:09:01	2010-12-31 10:08:15	2010-12-31 12:09:01	2010-12-31 09:08:15	2010-12-31 11:09:01	/gehme/data/stereo/secchi/L0/a/img/cor2/20101231/20101231_095400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101231/20101231_115400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20101231/20101231_085400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20101231/20101231_105400_d4c2B.fts
582	2011-01-02	18:08:15	2011-01-02	19:09:01	270	90	*	*	*	*	*	*	*	2011-01-02 18:08:15	2011-01-02 19:09:01	2011-01-02 17:08:15	2011-01-02 18:09:01	2011-01-02 16:08:15	2011-01-02 17:09:01	/gehme/data/stereo/secchi/L0/a/img/cor2/20110102/20110102_165400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110102/20110102_175400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110102/20110102_162400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110102/20110102_165400_d4c2B.fts
583	2011-01-04	07:08:15	2011-01-04	07:09:00	270	90	*	*	*	*	*	*	*	2011-01-04 07:08:15	2011-01-04 07:09:00	2011-01-04 06:08:15	2011-01-04 06:09:00	2011-01-04 05:08:15	2011-01-04 05:09:00	/gehme/data/stereo/secchi/L0/a/img/cor2/20110104/20110104_055400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110104/20110104_060800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110104/20110104_045400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110104/20110104_050800_d4c2B.fts
584	2011-01-06	15:08:15	2011-01-06	15:09:00	270	90	*	*	*	*	*	*	*	2011-01-06 15:08:15	2011-01-06 15:09:00	2011-01-06 14:08:15	2011-01-06 14:09:00	2011-01-06 13:08:15	2011-01-06 13:09:00	/gehme/data/stereo/secchi/L0/a/img/cor2/20110106/20110106_135400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110106/20110106_140800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110106/20110106_125400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110106/20110106_130800_d4c2B.fts
585	2011-01-07	22:08:15	2011-01-08	00:08:59	270	90	*	*	*	*	*	*	*	2011-01-07 22:08:15	2011-01-08 00:08:59	2011-01-07 21:08:15	2011-01-07 23:08:59	2011-01-07 20:08:15	2011-01-07 22:08:59	/gehme/data/stereo/secchi/L0/a/img/cor2/20110107/20110107_205400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110107/20110107_230800_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110107/20110107_195400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110107/20110107_220800_d4c2B.fts
586	2011-01-08	04:08:15	2011-01-08	10:08:59	90	270	*	*	*	*	*	*	*	2011-01-08 04:08:15	2011-01-08 10:08:59	2011-01-08 03:08:15	2011-01-08 09:08:59	2011-01-08 02:08:15	2011-01-08 08:08:59	/gehme/data/stereo/secchi/L0/a/img/cor2/20110108/20110108_025400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110108/20110108_085400_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20110108/20110108_015400_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20110108/20110108_075400_d4c2B.fts
