no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
1	2007-01-09	00:02:40	2007-01-09	*	45	*	353.555	353.415	0.219	0.079	0.251	0.103	0.150	2007-01-09 00:02:40		2007-01-08 23:02:40	NaT	2007-01-08 22:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070108/c2/22243925.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070108/c2/22243923.fts"	*
2	2007-01-15	12:02:40	2007-01-15	*	315	*	268.009	267.751	0.266	0.008	0.298	0.043	0.274	2007-01-15 12:02:40		2007-01-15 11:02:40	NaT	2007-01-15 10:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070115/c2/22244432.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070115/c2/22244430.fts"	*
3	2007-01-19	05:02:40	2007-01-19	05:02:44	0/360	45/215	219.214	218.872	0.298	-0.044	0.328	0.048	*	2007-01-19 05:02:40	2007-01-19 05:02:44	2007-01-19 04:02:40	2007-01-19 04:02:44	2007-01-19 03:02:40	2007-01-19 03:02:44	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070119/c2/22244795.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070119/c2/22244795.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070119/c2/22244792.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070119/c2/22244792.fts"
4	2007-01-24	06:02:40	2007-01-24	*	90	*	152.885	152.418	0.350	-0.118	0.378	0.140	0.516	2007-01-24 06:02:40		2007-01-24 05:02:40	NaT	2007-01-24 04:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070124/c2/22245310.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070124/c2/22245307.fts"	*
5	2007-01-24	15:02:40	2007-01-24	15:02:46	90	90	147.952	147.477	0.354	-0.121	0.382	0.147	*	2007-01-24 15:02:40	2007-01-24 15:02:46	2007-01-24 14:02:40	2007-01-24 14:02:46	2007-01-24 13:02:40	2007-01-24 13:02:46	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070124/c2/22245330.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070124/c2/22245330.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070124/c2/22245329.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070124/c2/22245329.fts"
6	2007-01-28	05:02:40	2007-01-28	*	90	*	100.817	100.295	0.398	-0.123	0.424	0.173	0.585	2007-01-28 05:02:40		2007-01-28 04:02:40	NaT	2007-01-28 03:02:40	NaT	No data	*	No data	*
7	2007-01-30	11:02:40	2007-01-30	12:02:48	270	270	71.223	70.679	0.430	-0.115	0.453	0.171	*	2007-01-30 11:02:40	2007-01-30 12:02:48	2007-01-30 10:02:40	2007-01-30 11:02:48	2007-01-30 09:02:40	2007-01-30 10:02:48	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070130/c2/22245640.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070130/c2/22245643.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070130/c2/22245637.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070130/c2/22245640.fts"
8	2007-02-02	02:02:40	2007-02-02	*	90	*	36.700	36.128	0.469	-0.103	0.490	0.163	0.633	2007-02-02 02:02:40		2007-02-02 01:02:40	NaT	2007-02-02 00:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070202/c2/22245818.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070202/c2/22245816.fts"	*
9	2007-02-09	17:02:40	2007-02-09	*	90	*	296.435	295.750	0.601	-0.084	0.615	0.130	0.725	2007-02-09 17:02:40		2007-02-09 16:02:40	NaT	2007-02-09 15:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070209/c2/22246336.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070209/c2/22246333.fts"	*
10	2007-02-11	15:02:40	2007-02-11	18:02:52	225	225	271.235	270.513	0.638	-0.084	0.650	0.124	*	2007-02-11 15:02:40	2007-02-11 18:02:52	2007-02-11 14:02:40	2007-02-11 17:02:52	2007-02-11 13:02:40	2007-02-11 16:02:52	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070211/c2/22246467.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070211/c2/22246476.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070211/c2/22246464.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070211/c2/22246473.fts"
