no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
11	2007-02-12	11:02:40	2007-02-12	*	90	*	260.279	259.540	0.654	-0.085	0.666	0.121	0.770	2007-02-12 11:02:40		2007-02-12 10:02:40	NaT	2007-02-12 09:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070212/c2/22246526.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070212/c2/22246523.fts"	*
12	2007-02-17	15:02:40	2007-02-17	15:02:54	90/135	90	192.357	191.495	0.764	-0.098	0.772	0.114	*	2007-02-17 15:02:40	2007-02-17 15:02:54	2007-02-17 14:02:40	2007-02-17 14:02:54	2007-02-17 13:02:40	2007-02-17 13:02:54	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070217/c2/22247070.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070217/c2/22247070.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070217/c2/22247065.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070217/c2/22247065.fts"
13	2007-02-19	16:02:40	2007-02-19	17:02:55	90	90	165.519	164.601	0.812	-0.107	0.817	*	*	2007-02-19 16:02:40	2007-02-19 17:02:55	2007-02-19 15:02:40	2007-02-19 16:02:55	2007-02-19 14:02:40	2007-02-19 15:02:55	No data	No data	No data	No data
14	2007-02-20	20:02:40	2007-02-20	20:02:55	270	270	150.184	149.231	0.840	-0.113	0.844	*	*	2007-02-20 20:02:40	2007-02-20 20:02:55	2007-02-20 19:02:40	2007-02-20 19:02:55	2007-02-20 18:02:40	2007-02-20 18:02:55	No data	No data	No data	No data
15	2007-02-24	14:02:40	2007-02-24	15:02:56	90	90	100.894	99.821	0.937	-0.136	0.938	*	*	2007-02-24 14:02:40	2007-02-24 15:02:56	2007-02-24 13:02:40	2007-02-24 14:02:56	2007-02-24 12:02:40	2007-02-24 13:02:56	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070224/c2/22247449.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070224/c2/22247454.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070224/c2/22247444.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070224/c2/22247449.fts"
16	2007-03-05	02:27:00	2007-03-05	*	315	*	348.954	347.550	1.194	-0.210	1.188	0.210	*	2007-03-05 02:27:00		2007-03-05 01:27:00	NaT	2007-03-05 00:27:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070305/c2/22247738.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070305/c2/22247732.fts"	*
17	2007-03-05	15:57:00	2007-03-05	*	45	*	341.562	340.133	1.212	-0.217	1.206	0.217	*	2007-03-05 15:57:00		2007-03-05 14:57:00	NaT	2007-03-05 13:57:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070305/c2/22247819.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070305/c2/22247813.fts"	*
18	2007-03-07	07:27:00	2007-03-07	*	270	*	319.933	318.429	1.268	-0.236	1.261	0.237	*	2007-03-07 07:27:00		2007-03-07 06:27:00	NaT	2007-03-07 05:27:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070307/c2/22248028.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070307/c2/22248022.fts"	*
19	2007-03-09	19:02:40	2007-03-09	*	270	*	287.308	285.685	1.355	-0.268	1.346	0.271	*	2007-03-09 19:02:40		2007-03-09 18:02:40	NaT	2007-03-09 17:02:40	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070309/c2/22248389.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070309/c2/22248383.fts"	*
20	2007-03-12	00:02:40	2007-03-12	00:03:01	90	90	258.289	256.554	1.436	-0.299	1.426	*	*	2007-03-12 00:02:40	2007-03-12 00:03:01	2007-03-11 23:02:40	2007-03-11 23:03:01	2007-03-11 22:02:40	2007-03-11 22:03:01	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070311/c2/22248714.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070311/c2/22248714.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070311/c2/22248709.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070311/c2/22248709.fts"
21	2007-03-15	18:02:40	2007-03-15	14:03:03	270	270	211.192	209.262	1.573	-0.357	1.562	*	*	2007-03-15 18:02:40	2007-03-15 14:03:03	2007-03-15 17:02:40	2007-03-15 13:03:03	2007-03-15 16:02:40	2007-03-15 12:03:03	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070315/c2/22249196.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070315/c2/22249173.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070315/c2/22249190.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070315/c2/22249171.fts"
22	2007-03-20	14:57:00	2007-03-20	*	225	*	144.998	142.765	1.781	-0.452	1.767	0.464	*	2007-03-20 14:57:00		2007-03-20 13:57:00	NaT	2007-03-20 12:57:00	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070320/c2/22249753.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070320/c2/22249750.fts"	*
23	2007-03-21	05:57:00	2007-03-21	04:57:25	90	90	137.333	135.063	1.806	-0.464	1.792	*	*	2007-03-21 05:57:00	2007-03-21 04:57:25	2007-03-21 04:57:00	2007-03-21 03:57:25	2007-03-21 03:57:00	2007-03-21 02:57:25	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070321/c2/22249838.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070321/c2/22249832.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070321/c2/22249832.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070321/c2/22249826.fts"
24	2007-03-27	14:27:00	2007-03-27	15:27:27	225	225	137.333	135.063	1.806	-0.464	1.792	0.477	*	2007-03-27 14:27:00	2007-03-27 15:27:27	2007-03-27 13:27:00	2007-03-27 14:27:27	2007-03-27 12:27:00	2007-03-27 13:27:27	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070327/c2/22250322.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070327/c2/22250325.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070327/c2/22250320.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070327/c2/22250322.fts"
25	2007-03-31	09:52:30	2007-03-31	09:52:58	270	270	3.238	0.245	2.290	-0.703	2.277	0.724	2.985	2007-03-31 09:52:30	2007-03-31 09:52:58	2007-03-31 08:52:30	2007-03-31 08:52:58	2007-03-31 07:52:30	2007-03-31 07:52:58	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070331/c2/22250588.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070331/c2/22250588.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070331/c2/22250585.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070331/c2/22250585.fts"
26	2007-04-03	03:52:30	2007-04-03	05:23:00	225	225	327.102	323.890	2.435	-0.777	2.422	0.801	3.207	2007-04-03 03:52:30	2007-04-03 05:23:00	2007-04-03 02:52:30	2007-04-03 04:23:00	2007-04-03 01:52:30	2007-04-03 03:23:00	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070403/c2/22250782.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070403/c2/22250787.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070403/c2/22250779.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070403/c2/22250784.fts"
27	2007-04-10	03:52:30	2007-04-10	05:23:02	270	270	235.117	231.298	2.827	-0.991	2.818	*	*	2007-04-10 03:52:30	2007-04-10 05:23:02	2007-04-10 02:52:30	2007-04-10 04:23:02	2007-04-10 01:52:30	2007-04-10 03:23:02	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070410/c2/22251328.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070410/c2/22251333.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070410/c2/22251325.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070410/c2/22251330.fts"
28	2007-04-14	17:22:30	2007-04-14	17:23:04	270	270	175.160	170.909	3.100	-1.151	3.095	1.184	*	2007-04-14 17:22:30	2007-04-14 17:23:04	2007-04-14 16:22:30	2007-04-14 16:23:04	2007-04-14 15:22:30	2007-04-14 15:23:04	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070414/c2/22251645.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070414/c2/22251645.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070414/c2/22251642.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070414/c2/22251642.fts"
29	2007-04-17	12:22:30	2007-04-17	12:23:05	135	135	138.473	133.943	3.274	-1.256	3.271	1.292	4.549	2007-04-17 12:22:30	2007-04-17 12:23:05	2007-04-17 11:22:30	2007-04-17 11:23:05	2007-04-17 10:22:30	2007-04-17 10:23:05	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070417/c2/22251842.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070417/c2/22251842.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070417/c2/22251839.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070417/c2/22251839.fts"
30	2007-04-18	22:52:30	2007-04-18	*	90	*	119.582	114.903	3.366	-1.313	3.365	1.350	*	2007-04-18 22:52:30		2007-04-18 21:52:30	NaT	2007-04-18 20:52:30	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070418/c2/22251944.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070418/c2/22251938.fts"	*
31	2007-05-01	11:22:30	2007-05-01	*	90	*	315.030	308.935	4.232	-1.862	4.249	1.911	*	2007-05-01 11:22:30		2007-05-01 10:22:30	NaT	2007-05-01 09:22:30	NaT	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070501/c2/22252815.fts"	*	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070501/c2/22252812.fts"	*
32	2007-05-06	01:52:30	2007-05-06	02:23:13	90	90	254.518	247.847	4.580	-2.092	4.604	2.145	6.738	2007-05-06 01:52:30	2007-05-06 02:23:13	2007-05-06 00:52:30	2007-05-06 01:23:13	2007-05-05 23:52:30	2007-05-06 00:23:13	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070506/c2/22253559.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070506/c2/22253134.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070505/c2/22253130.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070506/c2/22253558.fts"
33	2007-05-07	16:22:30	2007-05-07	17:53:14	90	90	233.435	226.555	4.704	-2.175	4.731	*	*	2007-05-07 16:22:30	2007-05-07 17:53:14	2007-05-07 15:22:30	2007-05-07 16:53:14	2007-05-07 14:22:30	2007-05-07 15:53:14	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070507/c2/22253677.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070507/c2/22253681.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070507/c2/22253671.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070507/c2/22253252.fts"
34	2007-05-08	06:52:30	2007-05-08	07:23:14	90	90	225.494	218.536	4.751	-2.207	4.779	*	*	2007-05-08 06:52:30	2007-05-08 07:23:14	2007-05-08 05:52:30	2007-05-08 06:23:14	2007-05-08 04:52:30	2007-05-08 05:23:14	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070508/c2/22253294.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070508/c2/22253722.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070508/c2/22253717.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070508/c2/22253719.fts"
35	2007-05-09	04:22:30	2007-05-09	04:53:14	90	90	213.720	206.643	4.821	-2.256	4.851	2.312	7.153	2007-05-09 04:22:30	2007-05-09 04:53:14	2007-05-09 03:22:30	2007-05-09 03:53:14	2007-05-09 02:22:30	2007-05-09 02:53:14	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253790.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253791.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253784.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253789.fts"
36	2007-05-09	16:22:30	2007-05-09	16:23:14	270	270	207.149	200.005	4.861	-2.283	4.891	2.340	*	2007-05-09 16:22:30	2007-05-09 16:23:14	2007-05-09 15:22:30	2007-05-09 15:23:14	2007-05-09 14:22:30	2007-05-09 14:23:14	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253827.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253827.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253821.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070509/c2/22253821.fts"
37	2007-05-14	16:22:30	2007-05-14	15:53:16	45	45	141.699	133.873	5.262	-2.564	5.301	2.626	7.919	2007-05-14 16:22:30	2007-05-14 15:53:16	2007-05-14 15:22:30	2007-05-14 14:53:16	2007-05-14 14:22:30	2007-05-14 13:53:16	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070514/c2/22254199.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070514/c2/22254198.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070514/c2/22254193.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070514/c2/22254191.fts"
38	2007-05-15	19:22:30	2007-05-15	20:23:17	45	45	126.649	118.661	5.356	-2.632	5.397	2.695	8.084	2007-05-15 19:22:30	2007-05-15 20:23:17	2007-05-15 18:22:30	2007-05-15 19:23:17	2007-05-15 17:22:30	2007-05-15 18:23:17	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070515/c2/22254289.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070515/c2/22254290.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070515/c2/22254286.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070515/c2/22254289.fts"
39	2007-05-20	07:52:30	2007-05-20	08:53:19	180	225	67.233	58.589	5.736	-2.908	5.785	2.976	8.753	2007-05-20 07:52:30	2007-05-20 08:53:19	2007-05-20 06:52:30	2007-05-20 07:53:19	2007-05-20 05:52:30	2007-05-20 06:53:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070520/c2/22254708.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070520/c2/22254713.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070520/c2/22254703.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070520/c2/22254708.fts"
40	2007-05-21	19:22:30	2007-05-21	18:53:19	90	90	48.058	39.197	5.861	-3.000	5.913	3.069	8.975	2007-05-21 19:22:30	2007-05-21 18:53:19	2007-05-21 18:22:30	2007-05-21 17:53:19	2007-05-21 17:22:30	2007-05-21 16:53:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070521/c2/22254893.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070521/c2/22254890.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070521/c2/22254888.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070521/c2/22254885.fts"
41	2007-05-22	16:22:30	2007-05-22	16:53:19	270	270	36.294	27.297	5.939	-3.057	5.992	3.127	9.112	2007-05-22 16:22:30	2007-05-22 16:53:19	2007-05-22 15:22:30	2007-05-22 15:53:19	2007-05-22 14:22:30	2007-05-22 14:53:19	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070522/c2/22254998.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070522/c2/22254999.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070522/c2/22254994.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070522/c2/22254996.fts"
42	2007-05-23	08:22:30	2007-05-23	08:53:20	270	270	27.532	18.435	5.997	-3.100	6.051	3.171	9.215	2007-05-23 08:22:30	2007-05-23 08:53:20	2007-05-23 07:22:30	2007-05-23 07:53:20	2007-05-23 06:22:30	2007-05-23 06:53:20	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070523/c2/22255076.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070523/c2/22255078.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070523/c2/22255071.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/070523/c2/22255073.fts"
