S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,433.1090_0A,2008-01-01,14:37:54,    -999,    -999,    -999,    -999,    -999,    -999,433.0882_0B,J,      21,NULL
B,433.0882_0B,2008-01-01,14:07:54,    -999,    -999,    -999,    -999,    -999,    -999,433.1090_0A,J,      22,NULL
A,433.6715_0A,2008-01-02,04:07:54,    -999,    -999,    -999,    -999,    -999,    -999,433.6715_0B,J,      21,NULL
B,433.6715_0B,2008-01-02,04:07:54,    -999,    -999,    -999,    -999,    -999,    -999,433.6715_0A,J,      22,NULL
A,433.9215_0Ac,2008-01-02,10:37:30,     107,      82,     448,     -48,      83,     -65,433.9632_0Bc,O,      21, OFL
B,433.9632_0Bc,2008-01-02,11:37:51,     107,      78,     433,      -1,     375,      28,433.9215_0Ac,F,      22, OFL
A,433.9632_0Ac,2008-01-02,12:37:30,     274,      37,      -2,      -5,      12,       0,NULL,F,      21, OFL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,433.9632_0Ac,Z,      22,NULL
A,435.8799_0Ac,2008-01-04,10:37:30,      22,      18,      91,     -15,      98,       2,435.8590_0Bc,O,      21,NULL
B,435.8590_0Bc,2008-01-04,10:07:51,     311,      21,      89,      -6,      65,       1,435.8799_0Ac,F,      22,NULL
A,435.8799_1A,2008-01-04,09:07:54,    -999,    -999,    -999,    -999,    -999,    -999,435.9007_0B,O,      21,NULL
B,435.9007_0B,2008-01-04,09:37:54,    -999,    -999,    -999,    -999,    -999,    -999,435.8799_1A,F,      22,NULL
A,437.6299_0A,2008-01-06,03:07:54,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      21,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,437.6299_0A,Z,      23,NULL
A,438.7132_0A,2008-01-07,05:07:54,    -999,    -999,    -999,    -999,    -999,    -999,438.6715_0Bc,J,      21,NULL
B,438.6715_0Bc,2008-01-07,05:07:50,     316,      13,     122,     -15,      47,       6,438.7132_0A,J,      23,NULL
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,439.3590_0Bc,Z,      21,NULL
B,439.3590_0Bc,2008-01-07,22:07:50,      90,       9,     155,       3,      10,       0,NULL,F,      23, PRM
A,440.4424_0A,2008-01-08,22:37:54,    -999,    -999,    -999,    -999,    -999,    -999,440.4215_0B,U,      21,NULL
B,440.4215_0B,2008-01-08,22:07:54,    -999,    -999,    -999,    -999,    -999,    -999,440.4424_0A,J,      23,NULL
A,442.4007_0A,2008-01-10,21:37:54,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      21,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,442.4007_0A,Z,      23,NULL
A,443.4840_0A,2008-01-11,23:37:54,    -999,    -999,    -999,    -999,    -999,    -999,443.4632_0B,O,      21,NULL
B,443.4632_0B,2008-01-11,23:07:54,    -999,    -999,    -999,    -999,    -999,    -999,443.4840_0A,J,      23,NULL
A,444.3590_0A,2008-01-12,20:37:54,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      21,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,444.3590_0A,Z,      23,NULL
A,445.2549_0A,2008-01-13,18:07:54,    -999,    -999,    -999,    -999,    -999,    -999,445.1507_0Bc,O,      21, faint
B,445.1507_0Bc,2008-01-13,17:07:49,      92,      11,      -9,       0,     -20,      -3,445.2549_0A,O,      23, faint
A,447.5257_0A,2008-01-16,00:37:54,    -999,    -999,    -999,    -999,    -999,    -999,447.7340_0B,O,      21, SB? ; faint
B,447.7340_0B,2008-01-16,05:37:54,    -999,    -999,    -999,    -999,    -999,    -999,447.5257_0A,O,      23, SB? ; faint
