S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,2633.9958_0A,1/10/14,11:54:00,-999,-999,-999,-999,-999,-999,NULL,O,150, Splitting
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2633.9958_0A,Z,153,NULL
A,2634.1521_0A,1/10/14,15:39:00,-999,-999,-999,-999,-999,-999,NULL,O,150, OFL
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2634.1521_0A,Z,153, OFL
A,2634.4958_0A,1/10/14,23:54:00,-999,-999,-999,-999,-999,-999,2634.4958_0B,J,150, FF ; faint
B,2634.4958_0B,1/10/14,23:54:00,-999,-999,-999,-999,-999,-999,2634.4958_0A,J,153, FF ; faint
A,2634.8917_0A,1/11/14,9:24:00,-999,-999,-999,-999,-999,-999,2634.9021_0B,O,150,NULL
B,2634.9021_0B,1/11/14,9:39:00,-999,-999,-999,-999,-999,-999,2634.8917_0A,F,153,SB ; PS
A,2635.6000_0A,1/12/14,2:24:00,-999,-999,-999,-999,-999,-999,NULL,OS,150, faint
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2635.6000_0A,Z,153,NULL
A,2635.7875_0A,1/12/14,6:54:00,-999,-999,-999,-999,-999,-999,2635.8083_0B,J,150,NULL
B,2635.8083_0B,1/12/14,7:24:00,-999,-999,-999,-999,-999,-999,2635.7875_0A,L,153,NULL
A,2636.0271_0A,1/12/14,12:39:00,-999,-999,-999,-999,-999,-999,NULL,O,150,NULL
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2636.0271_0A,Z,153,NULL
A,2636.3188_0A,1/12/14,19:39:00,-999,-999,-999,-999,-999,-999,NULL,F,150, SB ; faint
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2636.3188_0A,Z,153,NULL
A,2636.7139_0A,1/13/14,5:08:00,-999,-999,-999,-999,-999,-999,2636.7250_0B,O,150, SUR
B,2636.7250_0B,1/13/14,5:24:00,-999,-999,-999,-999,-999,-999,2636.7139_0A,O,153, SUR
A,2636.8708_0A,1/13/14,8:54:00,-999,-999,-999,-999,-999,-999,2636.8500_0B,L,150, SB ; faint
B,2636.8500_0B,1/13/14,8:24:00,-999,-999,-999,-999,-999,-999,2636.8708_0A,F,153, SB ; faint
A,2637.1521_0A,1/13/14,15:39:00,-999,-999,-999,-999,-999,-999,2637.1833_0B,F,150, SB ; 3P ; CS
B,2637.1833_0B,1/13/14,16:24:00,-999,-999,-999,-999,-999,-999,2637.1521_0A,F,153, SB ; CS
A,2637.3604_0Ac,1/13/14,23:08:00,133,31,508,5,171,-5,2637.4958_0Bc,F,150, SB
B,2637.4958_0Bc,1/14/14,0:55:03,150,40,433,-17,336,-29,2637.3604_0Ac,F,153, SB
A,2637.9125_0Ac,1/14/14,10:24:00,32,119,334,0,105,-20,2637.9333_0B,L,150, front
B,2637.9333_0B,1/14/14,10:24:00,-999,-999,-999,-999,-999,-999,2637.9125_0Ac,F,154, DPL ; front
A,2637.9854_0A,1/14/14,11:39:00,-999,-999,-999,-999,-999,-999,2637.9958_0B,FP,150, faint ; OVR
B,2637.9958_0B,1/14/14,11:54:00,-999,-999,-999,-999,-999,-999,2637.9854_0A,F,154,NULL
A,2638.7771_0A,1/15/14,6:39:00,-999,-999,-999,-999,-999,-999,NULL,W,150, faint ; FF
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2638.7771_0A,Z,154,NULL
A,2639.0792_0A,1/15/14,13:54:00,-999,-999,-999,-999,-999,-999,2639.2354_0B,F,150, SB ; PS
B,2639.2354_0B,1/15/14,17:39:00,-999,-999,-999,-999,-999,-999,2639.0792_0A,F,154, PS
A,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2639.2139_0B,Z,150, FF 
B,2639.2139_0B,1/15/14,17:08:00,-999,-999,-999,-999,-999,-999,NULL,W,154, FF
A,2639.6938_0Ac,1/16/14,4:39:00,227,21,140,-10,65,-2,NULL,J,150, FF
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2639.6938_0Ac,Z,154,NULL
A,2639.9438_0Ac,1/16/14,10:39:00,234,25,889,81,-1288,-154,NULL,O,150, OVR ; Gap
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2639.9438_0Ac,Z,154,NULL
A,2640.1833_0Ac,1/16/14,16:24:00,239,41,179,16,153,-17,2640.1833_0Bc,FP,150, 3P ; OVR ; double
B,2640.1833_0Bc,1/16/14,16:25:02,234,46,590,57,971,281,2640.1833_0Ac,FP,154, 3P ; OVR ; double
A,2640.3500_0A,1/16/14,20:24:00,-999,-999,-999,-999,-999,-999,2640.3604_0B,FP,150, OVR ; faint
B,2640.3604_0B,1/16/14,20:39:00,-999,-999,-999,-999,-999,-999,2640.3500_0A,OP,154, OVR
A,2640.4021_0Ac,1/16/14,21:54:00,250,59,118,-29,5567,501,2640.4438_0B,OP,150, OVR ; COL
B,2640.4438_0B,1/16/14,22:39:00,-999,-999,-999,-999,-999,-999,2640.4021_0Ac,OP,154, OVR
A,2640.4750_0Ac,1/16/14,23:39:00,270,79,679,20,4026,639,2640.5167_0B,LSP,151, 3P? ; COL ; DPL ; HAL
B,2640.5167_0B,1/17/14,0:24:00,-999,-999,-999,-999,-999,-999,2640.4750_0Ac,LP,154, COL ; HAL ; OVR 
A,2641.3500_0Ac,1/17/14,20:24:00,235,48,781,-37,505,-54,2641.3604_0B,JS,151, SUR
