S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,1163.9750_0A,2010-01-01,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1163.7875_0B,F,      64, SB ; faint
B,1163.7875_0B,2010-01-01,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1163.9750_0A,F,      68, faint ; SB
A,1164.2458_0A,2010-01-01,17:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1164.2667_0B,U,      64, faint
B,1164.2667_0B,2010-01-01,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1164.2458_0A,U,      68, faint
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1165.8292_0B,Z,      64, faint ;  ; HAL
B,1165.8292_0B,2010-01-03,07:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,      68, faint
A,1166.8083_0A,2010-01-04,07:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      64, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1166.8083_0A,Z,      68,NULL
A,1167.1417_0A,2010-01-04,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1167.1521_0B,J,      64,NULL
B,1167.1521_0B,2010-01-04,15:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1167.1417_0A,J,      68, faint
A,1167.4333_0A,2010-01-04,22:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1167.3708_0B,W,      64, FF
B,1167.3708_0B,2010-01-04,20:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1167.4333_0A,W,      68, faint ; FF
A,1167.9125_0A,2010-01-05,09:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,W,      64, FF ; faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1167.9125_0A,Z,      68,NULL
A,1168.3083_0A,2010-01-05,19:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1168.3604_0B,U,      64, faint ;  HAL
B,1168.3604_0B,2010-01-05,20:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1168.3083_0A,U,      68, GAP
A,1168.9854_0A,2010-01-06,11:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1169.0271_0B,F,      64, faint
B,1169.0271_0B,2010-01-06,12:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1168.9854_0A,U,      68, faint
A,1169.6000_0Ac,2010-01-07,03:54:00,     277,      32,     159,       4,      21,       0,1169.6417_0B,F,      64, SB ; faint
B,1169.6417_0B,2010-01-07,03:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1169.6000_0Ac,F,      68, faint ; SB
A,1170.9438_0A,2010-01-08,10:39:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      64, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1170.9438_0A,Z,      68,NULL
A,1172.8708_0A,2010-01-10,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1172.6417_0B,O,      64, faint ; HAL ;  OFL
B,1172.6417_0B,2010-01-10,03:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1172.8708_0A,F,      69, PRM ; 3P ;  OFL
A,1173.9854_0A,2010-01-11,11:39:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      64, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1173.9854_0A,Z,      69,NULL
A,1175.0688_0A,2010-01-12,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1175.1000_0B,U,      64,NULL
B,1175.1000_0B,2010-01-12,14:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1175.0688_0A,U,      69, faint
A,1175.3708_0A,2010-01-12,20:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1175.5271_0B,F,      64, faint
B,1175.5271_0B,2010-01-13,00:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1175.3708_0A,F,      69, faint
A,1177.5375_0A,2010-01-15,00:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1177.5688_0B,F,      64, faint ; SB 
B,1177.5688_0B,2010-01-15,01:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1177.5375_0A,O,      69, faint ;  HAL
A,1178.1417_0A,2010-01-15,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      64,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1178.1417_0A,Z,      69,NULL
A,1179.6938_0A,2010-01-17,04:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1179.6938_0Bc,O,      64, faint ; HAL
B,1179.6938_0Bc,2010-01-17,04:54:32,     113,      28,     102,     -24,    -130,      -3,1179.6938_0A,O,      69, faint
A,1179.7250_0A,2010-01-17,05:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,W,      64,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1179.7250_0A,Z,      69,NULL
A,1180.2042_0A,2010-01-17,16:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1180.2458_0B,U,      64,NULL
B,1180.2458_0B,2010-01-17,17:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1180.2042_0A,U,      69,NULL
A,1181.1833_0A,2010-01-18,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1181.1625_0B,J,      64,NULL
B,1181.1625_0B,2010-01-18,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1181.1833_0A,J,      69,NULL
A,1181.4021_0A,2010-01-18,21:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1181.4021_0B,O,      64, faint ; HAL
B,1181.4021_0B,2010-01-18,21:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1181.4021_0A,O,      69,NULL
A,1183.5271_0A,2010-01-21,00:39:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      64, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1183.5271_0A,Z,      69, faint ; HAL
A,1186.0688_0A,2010-01-23,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1186.1208_0B,F,      64, faint
B,1186.1208_0B,2010-01-23,14:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1186.0688_0A,F,      70, faint
A,1189.7250_0A,2010-01-27,05:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1189.7250_0B,W,      64, FF ; faint
B,1189.7250_0B,2010-01-27,05:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1189.7250_0A,W,      70, FF ; faint
A,1190.0583_0A,2010-01-27,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1190.0792_0B,U,      64,NULL
B,1190.0792_0B,2010-01-27,13:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1190.0583_0A,U,      70,NULL
A,1190.3500_0A,2010-01-27,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1190.3500_0B,W,      64, FF ; faint
B,1190.3500_0B,2010-01-27,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1190.3500_0A,W,      70, F?
A,1191.5688_0A,2010-01-29,01:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1191.5583_0Bc,O,      64, faint
