S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,127.5500_0A,2007-03-02,01:12:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,L,       1, GAP ; HAL ; faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,127.5500_0A,Z,       0,NULL
A,128.3000_0A,2007-03-02,19:12:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,L,       1, HAL ; faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,128.3000_0A,Z,       0, GAP
A,129.4042_0Ac,2007-03-03,23:12:00,     289,      46,      -1,      -5,      93,       0,NULL,O,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,129.4042_0Ac,Z,       0,NULL
A,129.5917_0A,2007-03-04,02:12:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,129.5917_0A,Z,       0,NULL
A,130.4875_0A,2007-03-04,23:42:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,130.4875_0A,Z,       0,NULL
A,130.5708_0Ac,2007-03-05,02:12:00,      80,      28,     214,       5,      48,       1,NULL,F,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,130.5708_0Ac,Z,       0, GAP
A,130.6333_0A,2007-03-05,03:12:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,       1, OFL? ; faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,130.6333_0A,Z,       0,NULL
A,132.7375_0A,2007-03-07,05:42:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,       1, GAP
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,132.7375_0A,Z,       0, GAP
A,141.5292_0Ac,2007-03-16,04:42:00,      71,      13,     227,      11,      58,       3,NULL,O,       1, GAP ; faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,141.5292_0Ac,Z,       0,NULL
A,143.5500_0Ac,2007-03-18,04:12:00,     281,      31,      13,       0,     -77,      -1,NULL,F,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,143.5500_0Ac,Z,       0, GAP
A,144.8417_0Ac,2007-03-19,08:42:00,      74,      10,     141,     -39,      14,       1,NULL,O,       1,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,144.8417_0Ac,Z,       0, GAP
A,146.1125_0Ac,2007-03-20,15:42:00,     242,      12,      84,     -40,      50,     -23,NULL,U,       1,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,146.1125_0Ac,Z,       0, GAP
A,146.6125_0Ac,2007-03-21,05:12:00,      78,      32,      99,       1,     112,       1,NULL,F,       1,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,146.6125_0Ac,Z,       0, GAP
A,148.0500_0Ac,2007-03-22,17:12:00,      72,      26,      80,       0,      36,       0,NULL,O,       1, OFL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,148.0500_0Ac,Z,       0, GAP
A,148.1958_0Ac,2007-03-22,22:12:00,     116,       8,      21,      -1,     -34,       0,NULL,U,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,148.1958_0Ac,Z,       0,NULL
A,148.3000_0Ac,2007-03-22,23:42:00,      74,      18,      38,      -1,       3,       0,NULL,F,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,148.3000_0Ac,Z,       0,NULL
A,150.7792_0Ac,2007-03-25,08:42:00,      87,      21,      -4,     -11,    -133,      -8,NULL,OP,       1, faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,150.7792_0Ac,Z,       0,NULL
A,151.1125_0A,2007-03-25,14:42:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,WP,       1, faint ; FF
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,151.1125_0A,Z,       0,NULL
A,151.6958_0Ac,2007-03-26,11:12:00,     237,       8,      34,       0,      15,       0,NULL,O,       2, faint ; SB?
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,151.6958_0Ac,Z,       0,NULL
A,153.0917_0Ac,2007-03-27,14:42:00,     251,      10,     153,     -21,     -40,       0,NULL,OP,       2,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,153.0917_0Ac,Z,       0, GAP
A,155.2132_0A,2007-03-29,17:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,       2, SUR
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,155.2132_0A,Z,       0, GAP
A,156.4424_0Ac,2007-03-31,09:37:30,     273,      38,     242,       7,     179,       4,NULL,F,       2, OFL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,156.4424_0Ac,Z,       0, GAP
A,159.6507_0Ac,2007-04-03,04:07:30,     243,      17,     195,       2,      49,       1,NULL,F,       2, CS
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,159.6507_0Ac,Z,       0, GAP
A,160.6715_0Ac,2007-04-04,04:37:30,     106,      11,       7,     -11,       5,      -4,NULL,J,       2,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,160.6715_0Ac,Z,       0, GAP
A,165.3799_0A,2007-04-08,21:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,W,       2, FF
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,165.3799_0A,Z,       0, GAP
A,166.6299_0Ac,2007-04-10,05:37:30,     260,      30,     173,       3,     -12,      -5,NULL,O,       2, OFL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,166.6299_0Ac,Z,       1, GAP
A,171.1090_0A,2007-04-14,14:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,W,       3, not FF
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,171.1090_0A,Z,       1, GAP
A,173.7132_0Ac,2007-04-17,06:37:30,     114,       3,     206,       0,       4,       0,NULL,O,       3,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,173.7132_0Ac,Z,       1, GAP
A,175.4007_0Ac,2007-04-19,01:07:30,      95,      39,     168,       3,     112,       1,NULL,F,       3, OFL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,175.4007_0Ac,Z,       1, GAP
A,177.6507_0Ac,2007-04-21,10:07:30,      83,      36,     -17,       0,      12,      -1,NULL,U,       3,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,177.6507_0Ac,Z,       1, GAP
A,182.0049_0A,2007-04-25,12:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,       3, GAP ; faint
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,182.0049_0A,Z,       1,NULL
A,184.7757_0A,2007-04-28,06:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,       3, SUR?
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,184.7757_0A,Z,       1, GAP
