S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,2259.5472_0A,2013-01-01,01:08:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,     128, OVR ; OFL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2259.5472_0A,Z,     131,NULL
A,2259.5583_0Ac,2013-01-01,01:54:00,     298,      30,       4,     -24,     132,      13,2259.6208_0B,O,     128,NULL
B,2259.6208_0B,2013-01-01,02:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2259.5583_0Ac,O,     131, HAL ; faint
A,2260.0583_0A,2013-01-01,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,     128, OVR
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2260.0583_0A,Z,     131, faint ; OVR
A,2260.8806_0Ac,2013-01-02,09:08:00,      44,      93,     443,       0,     707,     -21,2260.8500_0B,LP,     128, COL 
B,2260.8500_0B,2013-01-02,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2260.8806_0Ac,OP,     131, faint
A,2260.9750_0A,2013-01-02,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2260.9958_0B,U,     128,NULL
B,2260.9958_0B,2013-01-02,11:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2260.9750_0A,U,     131,NULL
A,2261.7875_0A,2013-01-03,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2261.7875_0B,U,     128, SUR
B,2261.7875_0B,2013-01-03,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2261.7875_0A,U,     131, OVR
A,2261.9750_0A,2013-01-03,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2262.0167_0Bc,F,     128, SB ;  PRM
B,2262.0167_0Bc,2013-01-03,13:09:00,      36,      38,     221,       7,     161,      -6,2261.9750_0A,F,     131, SB ;  PRM
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2262.4125_0B,Z,     128,NULL
B,2262.4125_0B,2013-01-03,21:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,     131,NULL
A,2262.8917_0Ac,2013-01-04,09:54:00,      97,      37,     164,     -13,      15,       0,NULL,U,     128, OVR
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2262.8917_0Ac,Z,     132, faint
A,2263.0688_0Ac,2013-01-04,14:24:00,      96,      56,     398,      12,      10,     -42,NULL,OP,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2263.0688_0Ac,Z,     132,NULL
A,2263.7042_0Ac,2013-01-05,05:24:00,      62,      10,     214,       8,     106,       3,NULL,F,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2263.7042_0Ac,Z,     132,NULL
A,2263.8500_0A,2013-01-05,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2263.8292_0Bc,O,     128,NULL
B,2263.8292_0Bc,2013-01-05,08:24:59,     101,      17,     641,    -181,     188,      25,2263.8500_0A,O,     132,NULL
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2264.4125_0Bc,Z,     128,NULL
B,2264.4125_0Bc,2013-01-05,22:24:59,      70,       8,     138,       0,    -130,     -12,NULL,J,     132,NULL
A,2264.4542_0Ac,2013-01-05,22:54:00,     156,      34,     248,    -129,    2945,     963,2264.4542_0B,U,     128,NULL
B,2264.4542_0B,2013-01-05,22:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2264.4542_0Ac,U,     132,NULL
A,2264.7667_0Ac,2013-01-06,06:54:00,     124,      58,     371,       0,     254,       8,2264.7667_0B,LS,     128, HAL ; front
B,2264.7667_0B,2013-01-06,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2264.7667_0Ac,L,     132, front
A,2265.3500_0A,2013-01-06,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,UP,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2265.3500_0A,Z,     132, faint
A,2265.4750_0Ac,2013-01-06,23:24:00,     295,      67,     615,      -9,    -233,     191,NULL,O,     128, OVR ;  FF
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2265.4750_0Ac,Z,     132,NULL
A,2265.6625_0Ac,2013-01-07,03:54:00,     286,      43,     617,       0,     635,      70,2265.6625_0B,OP,     128,NULL
B,2265.6625_0B,2013-01-07,03:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2265.6625_0Ac,W,     132,NULL
A,2265.9750_0Ac,2013-01-07,11:24:00,     132,      52,     310,       7,     144,      -5,2266.0167_0Bc,L,     128,NULL
B,2266.0167_0Bc,2013-01-07,13:54:59,     138,      41,     234,       0,     119,     -10,2265.9750_0Ac,U,     132, faint
A,2266.2875_0Ac,2013-01-07,19:24:00,      91,      30,       2,     -13,       1,       0,NULL,OP,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2266.2875_0Ac,Z,     132, faint ; OVr
A,2266.8708_0A,2013-01-08,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2266.8708_0A,Z,     132,NULL
A,2266.9750_0A,2013-01-08,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2266.9750_0B,U,     128, faint
B,2266.9750_0B,2013-01-08,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2266.9750_0A,U,     132,NULL
A,2267.1833_0Ac,2013-01-08,16:54:00,     284,      21,     681,      25,    -146,    -109,NULL,O,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2267.1833_0Ac,Z,     132,NULL
A,2267.3917_0A,2013-01-08,21:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,     128, SUR
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2267.3917_0A,Z,     132,NULL
A,2267.4750_0A,2013-01-08,23:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2267.4750_0A,Z,     132,NULL
A,2267.8083_0Ac,2013-01-09,08:54:00,     116,      14,     256,       2,       9,       1,NULL,U,     128,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2267.8083_0Ac,Z,     132,NULL
A,2268.3083_0A,2013-01-09,19:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2268.2458_0Bc,O,     128, HAL ; faint
B,2268.2458_0Bc,2013-01-09,21:54:59,     270,      21,     204,      12,     286,      26,2268.3083_0A,F,     132,
A,2268.5792_0A,2013-01-10,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,OP,     129,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2268.5792_0A,Z,     133,NULL
A,2268.7458_0A,2013-01-10,05:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2268.7458_0B,U,     129,NULL
B,2268.7458_0B,2013-01-10,05:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2268.7458_0A,U,     133, OVR
A,2268.8500_0Ac,2013-01-10,08:24:00,     287,      19,     -54,    -107,     400,     620,NULL,OP,     129,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2268.8500_0Ac,Z,     133,NULL
A,2269.1625_0A,2013-01-10,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,OP,     129,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2269.1625_0A,Z,     133,NULL
A,2269.5583_0A,2013-01-11,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,2269.6208_0B,F,     129, CS
B,2269.6208_0B,2013-01-11,02:54:00,    -999,    -999,    -999,    -999,    -999,    -999,2269.5583_0A,L,     133, faint
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,2269.7667_0B,Z,     129,NULL
