,paths,date,header_contrast
51,/gehme/data/stereo/secchi/L1/a/img/cor2/20070604/20070604_190730_d4c2a.fts,2007-06-04 19:07:30,
52,/gehme/data/stereo/secchi/L1/a/img/cor2/20070607/20070607_190730_d4c2a.fts,2007-06-07 19:07:30,
53,/gehme/data/stereo/secchi/L1/a/img/cor2/20070607/20070607_183730_d4c2a.fts,2007-06-07 18:37:30,
54,/gehme/data/stereo/secchi/L1/a/img/cor2/20070610/20070610_090730_d4c2a.fts,2007-06-10 09:07:30,
55,/gehme/data/stereo/secchi/L1/a/img/cor2/20070610/20070610_080730_d4c2a.fts,2007-06-10 08:07:30,
56,/gehme/data/stereo/secchi/L1/a/img/cor2/20070612/20070612_023730_d4c2a.fts,2007-06-12 02:37:30,
57,/gehme/data/stereo/secchi/L1/a/img/cor2/20070612/20070612_013730_d4c2a.fts,2007-06-12 01:37:30,
58,/gehme/data/stereo/secchi/L1/a/img/cor2/20070619/20070619_140730_d4c2a.fts,2007-06-19 14:07:30,
59,/gehme/data/stereo/secchi/L1/a/img/cor2/20070619/20070619_130730_d4c2a.fts,2007-06-19 13:07:30,
60,/gehme/data/stereo/secchi/L1/a/img/cor2/20070627/20070627_043730_d4c2a.fts,2007-06-27 04:37:30,
61,/gehme/data/stereo/secchi/L1/a/img/cor2/20070627/20070627_033730_d4c2a.fts,2007-06-27 03:37:30,
62,/gehme/data/stereo/secchi/L1/a/img/cor2/20070629/20070629_163730_d4c2a.fts,2007-06-29 16:37:30,
63,/gehme/data/stereo/secchi/L1/a/img/cor2/20070629/20070629_153730_d4c2a.fts,2007-06-29 15:37:30,
64,/gehme/data/stereo/secchi/L1/a/img/cor2/20070630/20070630_040730_d4c2a.fts,2007-06-30 04:07:30,
65,/gehme/data/stereo/secchi/L1/a/img/cor2/20070630/20070630_033730_d4c2a.fts,2007-06-30 03:37:30,
66,/gehme/data/stereo/secchi/L1/a/img/cor2/20070704/20070704_110730_d4c2a.fts,2007-07-04 11:07:30,
67,/gehme/data/stereo/secchi/L1/a/img/cor2/20070704/20070704_100730_d4c2a.fts,2007-07-04 10:07:30,
68,/gehme/data/stereo/secchi/L1/a/img/cor2/20070708/20070708_043730_d4c2a.fts,2007-07-08 04:37:30,
69,/gehme/data/stereo/secchi/L1/a/img/cor2/20070708/20070708_033730_d4c2a.fts,2007-07-08 03:37:30,
70,/gehme/data/stereo/secchi/L1/a/img/cor2/20070708/20070708_190730_d4c2a.fts,2007-07-08 19:07:30,
71,/gehme/data/stereo/secchi/L1/a/img/cor2/20070708/20070708_180730_d4c2a.fts,2007-07-08 18:07:30,
72,/gehme/data/stereo/secchi/L1/a/img/cor2/20070709/20070709_053730_d4c2a.fts,2007-07-09 05:37:30,
73,/gehme/data/stereo/secchi/L1/a/img/cor2/20070709/20070709_043730_d4c2a.fts,2007-07-09 04:37:30,
74,/gehme/data/stereo/secchi/L1/a/img/cor2/20070709/20070709_230730_d4c2a.fts,2007-07-09 23:07:30,
75,/gehme/data/stereo/secchi/L1/a/img/cor2/20070709/20070709_220730_d4c2a.fts,2007-07-09 22:07:30,
76,/gehme/data/stereo/secchi/L1/a/img/cor2/20070711/20070711_083730_d4c2a.fts,2007-07-11 08:37:30,
77,/gehme/data/stereo/secchi/L1/a/img/cor2/20070711/20070711_073730_d4c2a.fts,2007-07-11 07:37:30,
78,/gehme/data/stereo/secchi/L1/a/img/cor2/20070716/20070716_123730_d4c2a.fts,2007-07-16 12:37:30,
79,/gehme/data/stereo/secchi/L1/a/img/cor2/20070716/20070716_113730_d4c2a.fts,2007-07-16 11:37:30,
80,/gehme/data/stereo/secchi/L1/a/img/cor2/20070718/20070718_173730_d4c2a.fts,2007-07-18 17:37:30,
81,/gehme/data/stereo/secchi/L1/a/img/cor2/20070718/20070718_163730_d4c2a.fts,2007-07-18 16:37:30,
82,/gehme/data/stereo/secchi/L1/a/img/cor2/20070729/20070729_010730_d4c2a.fts,2007-07-29 01:07:30,
83,/gehme/data/stereo/secchi/L1/a/img/cor2/20070729/20070729_000730_d4c2a.fts,2007-07-29 00:07:30,
84,/gehme/data/stereo/secchi/L1/a/img/cor2/20070730/20070730_040730_d4c2a.fts,2007-07-30 04:07:30,
85,/gehme/data/stereo/secchi/L1/a/img/cor2/20070730/20070730_030730_d4c2a.fts,2007-07-30 03:07:30,
86,/gehme/data/stereo/secchi/L1/a/img/cor2/20070802/20070802_190730_d4c2a.fts,2007-08-02 19:07:30,
87,/gehme/data/stereo/secchi/L1/a/img/cor2/20070802/20070802_180730_d4c2a.fts,2007-08-02 18:07:30,
88,/gehme/data/stereo/secchi/L1/a/img/cor2/20070808/20070808_153730_d4c2a.fts,2007-08-08 15:37:30,
