S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,1547.7875_0A,2011-01-20,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1547.8083_0B,F,      85, OVR ; GAP
B,1547.8083_0B,2011-01-20,07:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1547.7875_0A,F,      92, GAP ; OVR
A,1548.1833_0A,2011-01-20,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.1833_0Bc,F,      85, OFL ;  3P ;  CS
B,1548.1833_0Bc,2011-01-20,17:24:42,     124,      35,     327,      15,     125,       3,1548.1833_0A,F,      92, OFL ;  3P ;  CS
A,1548.3188_0A,2011-01-20,19:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.3500_0B,W,      85, FF ;  faint
B,1548.3500_0B,2011-01-20,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.3188_0A,W,      92, FF ;  faint
A,1548.5167_0A,2011-01-21,00:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.5375_0B,W,      85, OVR ;  FF 
B,1548.5375_0B,2011-01-21,00:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.5167_0A,W,      92, OVR ; FF
A,1548.7042_0A,2011-01-21,04:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.7250_0B,WP,      85, FF ; OVR
B,1548.7250_0B,2011-01-21,05:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.7042_0A,WP,      92, FF ; OVR
A,1548.8188_0A,2011-01-21,07:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.8500_0B,WP,      85, OVR ; FF
B,1548.8500_0B,2011-01-21,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.8188_0A,WP,      92, OVR ; FF
A,1548.9438_0A,2011-01-21,10:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.9750_0B,WP,      85, OVR
B,1548.9750_0B,2011-01-21,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.9438_0A,WP,      92, OVR
A,1549.0167_0A,2011-01-21,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1549.0583_0B,FP,      85, faint ; SB ; OFL
B,1549.0583_0B,2011-01-21,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1549.0167_0A,FP,      92, faint ; SB
A,1549.1833_0A,2011-01-21,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1549.2250_0B,O,      85,NULL
B,1549.2250_0B,2011-01-21,17:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1549.1833_0A,O,      92,NULL
A,1549.7458_0A,2011-01-22,05:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1549.7667_0B,FP,      86,NULL
B,1549.7667_0B,2011-01-22,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1549.7458_0A,FP,      92,NULL
A,1550.1000_0A,2011-01-22,14:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1550.1208_0B,O,      86,NULL
B,1550.1208_0B,2011-01-22,14:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1550.1000_0A,O,      92,NULL
A,1550.6104_0Ac,2011-01-23,02:54:00,     270,     119,       6,     -24,   -2291,     -20,1550.6208_0B,LS,      86, HAL 
B,1550.6208_0B,2011-01-23,02:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1550.6104_0Ac,LS,      92, HAL
A,1551.4750_0Ac,2011-01-23,23:39:00,     263,      18,      18,     -32,     -74,      27,1551.4958_0B,O,      86, FF
B,1551.4958_0B,2011-01-23,23:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1551.4750_0Ac,O,      92, FF
A,1551.6000_0Ac,2011-01-24,02:39:00,      98,      40,     320,       7,     128,       5,1551.6417_0Bc,F,      86, SB ;  OFL
B,1551.6417_0Bc,2011-01-24,03:54:40,     267,      35,     318,       5,      93,       0,1551.6000_0Ac,F,      92, SB ;  OFL
A,1552.7354_0A,2011-01-25,05:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1552.7354_0B,U,      86,NULL
B,1552.7354_0B,2011-01-25,05:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1552.7354_0A,U,      92,NULL
A,1552.8292_0A,2011-01-25,07:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1552.8917_0B,F,      86, SB
B,1552.8917_0B,2011-01-25,09:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1552.8292_0A,F,      92, SB 
A,1553.5583_0Ac,2011-01-26,01:54:00,      54,      36,     457,      16,       0,      -8,1553.5688_0Bc,FP,      86, OVR
B,1553.5688_0Bc,2011-01-26,02:24:39,     309,      38,     485,      24,     554,      16,1553.5583_0Ac,FP,      92, OVR
A,1555.3917_0A,2011-01-27,21:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1555.4438_0B,L,      86, faint ;  ; OVR
B,1555.4438_0B,2011-01-27,22:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1555.3917_0A,L,      92, faint ; GAP ;  ; OVR
A,1555.5688_0Ac,2011-01-28,01:54:00,     330,     111,     -74,     -63,     260,    -107,1555.5792_0B,LPS,      86, OVR ; HAL
B,1555.5792_0B,2011-01-28,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1555.5688_0Ac,LPS,      92, OVR ; HAL
A,1555.7042_0A,2011-01-28,04:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1555.7250_0B,OP,      86, OVR
B,1555.7250_0B,2011-01-28,05:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1555.7042_0A,OP,      92, OVR
A,1555.9542_0Ac,2011-01-28,10:54:00,     279,      38,     453,     -22,    -442,    -183,1555.9542_0B,FPS,      86, OVR
B,1555.9542_0B,2011-01-28,10:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1555.9542_0Ac,FPS,      92, OVR
A,1556.2458_0A,2011-01-28,17:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.2667_0B,U,      86,NULL
B,1556.2667_0B,2011-01-28,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.2458_0A,U,      92,NULL
A,1556.3188_0A,2011-01-28,19:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.3500_0B,OP,      86, OVR
B,1556.3500_0B,2011-01-28,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.3188_0A,OP,      92, OVR
A,1556.6000_0A,2011-01-29,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.6000_0B,OS,      86, HAL
B,1556.6000_0B,2011-01-29,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.6000_0A,OS,      92, HAL
A,1556.8917_0A,2011-01-29,09:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1556.8917_0Bc,UP,      86, faint
B,1556.8917_0Bc,2011-01-29,09:54:38,      74,      34,     313,       9,      65,      -7,1556.8917_0A,UP,      92, faint
A,1557.0375_0A,2011-01-29,12:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.0688_0B,U,      86, faint
B,1557.0688_0B,2011-01-29,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.0375_0A,U,      92, faint
A,1557.1208_0A,2011-01-29,14:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.1625_0B,O,      86,NULL
B,1557.1625_0B,2011-01-29,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.1208_0A,O,      92,NULL
A,1557.4438_0A,2011-01-29,22:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.7250_0B,FP,      86,NULL
B,1557.7250_0B,2011-01-30,05:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.4438_0A,FP,      92,NULL
A,1557.9125_0A,2011-01-30,09:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.9333_0B,U,      86,NULL
B,1557.9333_0B,2011-01-30,10:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1557.9125_0A,U,      92,NULL
A,1558.3083_0A,2011-01-30,19:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1558.3500_0B,OP,      86,NULL
B,1558.3500_0B,2011-01-30,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1558.3083_0A,OP,      92,NULL
A,1559.2042_0A,2011-01-31,16:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1559.2042_0B,LS,      86,NULL
B,1559.2042_0B,2011-01-31,16:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1559.2042_0A,LS,      93,NULL
A,1560.3292_0A,2011-02-01,19:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1560.2875_0B,F,      86, OVR
B,1560.2875_0B,2011-02-01,18:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1560.3292_0A,F,      93, OVR
A,1560.4750_0Ac,2011-02-01,23:24:00,     269,      64,     750,       0,     508,      69,1560.4854_0Bc,FP,      86, OVR
B,1560.4854_0Bc,2011-02-01,23:39:37,      84,      60,     753,     -16,     557,      14,1560.4750_0Ac,FP,      93, OVR
A,1560.8500_0A,2011-02-02,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1560.8604_0B,U,      86,NULL
B,1560.8604_0B,2011-02-02,08:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1560.8500_0A,U,      93,NULL
A,1561.5792_0Ac,2011-02-03,02:24:00,     252,      15,      -4,      -2,     -76,      -4,1561.7354_0B,F,      86,NULL
B,1561.7354_0B,2011-02-03,05:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1561.5792_0Ac,F,      93,NULL
A,1561.9854_0A,2011-02-03,11:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1561.9958_0B,U,      86,NULL
B,1561.9958_0B,2011-02-03,11:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1561.9854_0A,U,      93,NULL
A,1562.2458_0A,2011-02-03,17:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      86, FF
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1562.2458_0A,Z,      93,NULL
A,1563.5583_0A,2011-02-05,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1563.5792_0B,O,      86, faint
B,1563.5792_0B,2011-02-05,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1563.5583_0A,O,      93, faint
A,1564.7771_0A,2011-02-06,06:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1564.7875_0B,U,      86,NULL
B,1564.7875_0B,2011-02-06,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1564.7771_0A,U,      93,NULL
A,1565.2667_0A,2011-02-06,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1565.2875_0B,U,      86, faint
B,1565.2875_0B,2011-02-06,18:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1565.2667_0A,U,      93, faint
A,1567.2250_0A,2011-02-08,17:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1567.2771_0B,F,      86, SB
B,1567.2771_0B,2011-02-08,18:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1567.2250_0A,F,      93, SB
A,1568.1625_0A,2011-02-09,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1568.1833_0Bc,F,      86,NULL
B,1568.1833_0Bc,2011-02-09,16:39:35,     109,      39,     322,       0,     179,      -2,1568.1625_0A,F,      93,NULL
