S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,1893.8708_0A,2012-01-01,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,     107,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1893.8708_0A,Z,     110, faint
A,1894.0167_0A,2012-01-01,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1894.0688_0B,LS,     107,NULL
B,1894.0688_0B,2012-01-01,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1894.0167_0A,F,     110,NULL
A,1894.0792_0A,2012-01-01,13:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1894.0688_1B,LS,     107,NULL
B,1894.0688_1B,2012-01-01,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1894.0792_0A,FS,     110,NULL
A,1894.5688_0A,2012-01-02,01:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1894.6000_0B,L,     107,NULL
B,1894.6000_0B,2012-01-02,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1894.5688_0A,L,     111,NULL
A,1895.1521_0A,2012-01-02,15:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1895.1417_0Bc,LPS,     107,NULL
B,1895.1417_0Bc,2012-01-02,15:39:54,     102,      92,     772,     -45,     762,    -221,1895.1521_0A,FPS,     111,NULL
A,1896.1833_0A,2012-01-03,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1896.1833_0B,L,     107, GAP
B,1896.1833_0B,2012-01-03,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1896.1833_0A,F,     111, GAP
A,1896.4854_0A,2012-01-03,23:39:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,OP,     107,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1896.4854_0A,Z,     111,NULL
A,1896.5583_0A,2012-01-04,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1896.5792_0B,F,     107,NULL
B,1896.5792_0B,2012-01-04,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1896.5583_0A,F,     111,NULL
A,1896.6625_0A,2012-01-04,03:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1896.6833_0B,UP,     107,NULL
B,1896.6833_0B,2012-01-04,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1896.6625_0A,UP,     111,NULL
A,1897.6000_0A,2012-01-05,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1897.6208_0B,W,     107, FF
B,1897.6208_0B,2012-01-05,02:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1897.6000_0A,W,     111, FF
A,1897.8500_0A,2012-01-05,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,     107, SB ; OVR
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1897.8500_0A,Z,     111,no cme observed
A,1898.0167_0A,2012-01-05,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.0167_0B,FP,     107,NULL
B,1898.0167_0B,2012-01-05,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.0167_0A,F,     111,NULL
A,1898.0167_1A,2012-01-05,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.0167_1B,FSP,     107,NULL
B,1898.0167_1B,2012-01-05,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.0167_1A,FPS,     111, two events?
A,1898.1625_0A,2012-01-05,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.2042_0B,U,     107, OFL?
B,1898.2042_0B,2012-01-05,16:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.1625_0A,U,     111,NULL
A,1898.6000_0A,2012-01-06,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,     107,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1898.6000_0A,Z,     111,NULL
A,1898.9750_0A,2012-01-06,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.9958_0B,O,     107,NULL
B,1898.9958_0B,2012-01-06,11:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.9750_0A,O,     111, faint
A,1898.9958_0A,2012-01-06,11:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1899.0167_0B,O,     107,NULL
B,1899.0167_0B,2012-01-06,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1898.9958_0A,O,     111,NULL
A,1899.4021_0Ac,2012-01-06,21:54:00,     324,      65,     440,       1,     303,     -11,1899.4333_0Bc,F,     107,three;part cme
B,1899.4333_0Bc,2012-01-06,22:24:53,      10,      71,     431,     -19,     400,      -6,1899.4021_0Ac,F,     111,NULL
A,1900.2354_0A,2012-01-07,17:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1900.3917_0B,F,     107, SB ; OVR
B,1900.3917_0B,2012-01-07,21:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1900.2354_0A,F,     111,SB ; OVR
A,1900.6000_0A,2012-01-08,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1900.6417_0B,FP,     107,PRM?
B,1900.6417_0B,2012-01-08,03:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1900.6000_0A,FP,     111,PRM?
A,1901.5167_0A,2012-01-09,00:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1901.4958_0B,U,     107,NULL
B,1901.4958_0B,2012-01-08,23:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1901.5167_0A,U,     112,NULL
A,1902.2667_0A,2012-01-09,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1902.3292_0B,O,     107, faint
B,1902.3292_0B,2012-01-09,19:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1902.2667_0A,O,     112, faint
A,1902.4854_0A,2012-01-09,23:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1902.4958_0B,F,     107, SB ; GAP
B,1902.4958_0B,2012-01-09,23:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1902.4854_0A,F,     112, SB ; GAP
A,1904.8708_0A,2012-01-12,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1904.8917_0B,FPS,     107, SB
B,1904.8917_0B,2012-01-12,09:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1904.8708_0A,FS,     112,SB
A,1904.8708_1A,2012-01-12,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1904.8708_0B,LSP,     107, OVR
B,1904.8708_0B,2012-01-12,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1904.8708_1A,LS,     112,NULL
A,1905.4125_0A,2012-01-12,21:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1905.4333_0B,O,     107, multiple?
B,1905.4333_0B,2012-01-12,22:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1905.4125_0A,O,     112, multiple?
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1905.4125_0B,Z,     107, OVR
B,1905.4125_0B,2012-01-12,21:54:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,O,     112,NULL
A,1905.9438_0A,2012-01-13,10:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1905.9542_0B,OP,     107, OVR
B,1905.9542_0B,2012-01-13,10:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1905.9438_0A,OP,     112, OVR
A,1906.0167_0A,2012-01-13,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,     107,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1906.0167_0A,Z,     112, OVR
A,1907.1833_0A,2012-01-14,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1907.0583_0B,F,     107, faint
B,1907.0583_0B,2012-01-14,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1907.1833_0A,F,     112, faint
A,1907.7667_0A,2012-01-15,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1907.7667_0B,LS,     107, HAL ; faint
B,1907.7667_0B,2012-01-15,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1907.7667_0A,OS,     112, HAL
A,1908.5583_0A,2012-01-16,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1908.5792_0B,LS,     107, HAL ; OVR
B,1908.5792_0B,2012-01-16,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1908.5583_0A,LS,     113, HAL ; OVR
A,1908.6417_0A,2012-01-16,03:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1908.6417_0B,LPS,     107,NULL
B,1908.6417_0B,2012-01-16,03:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1908.6417_0A,LPS,     113,NULL
A,1908.9750_0A,2012-01-16,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1909.0167_0B,F,     107, SB
B,1909.0167_0B,2012-01-16,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1908.9750_0A,O,     113, faint
A,1911.0167_0A,2012-01-18,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.0167_0B,F,     107,NULL
B,1911.0167_0B,2012-01-18,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.0167_0A,F,     113, 3p
A,1911.1417_0A,2012-01-18,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.3500_0B,F,     107, faint
B,1911.3500_0B,2012-01-18,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.1417_0A,F,     113, faint
A,1911.4958_0A,2012-01-18,23:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.5583_0B,O,     107,NULL
B,1911.5583_0B,2012-01-19,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.4958_0A,F,     113,NULL
A,1911.9333_0A,2012-01-19,10:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.9750_0B,L,     107, OVR
B,1911.9750_0B,2012-01-19,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1911.9333_0A,L,     113, OVR
A,1912.0583_0A,2012-01-19,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,NULL,OPS,     107, OVR
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,1912.0583_0A,Z,     113, OVR
A,1912.1417_0A,2012-01-19,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1912.1417_0B,FP,     107, OVR
B,1912.1417_0B,2012-01-19,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1912.1417_0A,FP,     113, OVR
A,1912.1938_0A,2012-01-19,16:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1912.2042_0B,OP,     107, OVR
B,1912.2042_0B,2012-01-19,16:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1912.1938_0A,OP,     113, OVR
A,1913.4333_0A,2012-01-20,22:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1913.6000_0B,O,     107, faint
B,1913.6000_0B,2012-01-21,02:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1913.4333_0A,O,     113, faint
A,1913.9125_0A,2012-01-21,09:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1914.0167_0B,FP,     107, two events?
B,1914.0167_0B,2012-01-21,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1913.9125_0A,OP,     113, OVR     ;  faint 
A,1914.8500_0A,2012-01-22,08:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1915.0167_0B,F,     107,NULL
B,1915.0167_0B,2012-01-22,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1914.8500_0A,L,     113, faint
A,1915.0167_0A,2012-01-22,12:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1914.9542_0B,F,     107,NULL
B,1914.9542_0B,2012-01-22,10:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1915.0167_0A,F,     113,NULL
A,1915.6208_0Ac,2012-01-23,03:24:00,      57,      86,    1570,     284,    2350,     389,1915.6417_0Bc,LS,     107,NULL
B,1915.6417_0Bc,2012-01-23,03:39:49,     320,     113,    1800,     414,    3221,     681,1915.6208_0Ac,LS,     113,NULL
A,1915.9125_0A,2012-01-23,09:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1916.0688_0B,FP,     107,NULL
B,1916.0688_0B,2012-01-23,13:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1915.9125_0A,FP,     113,NULL
A,1917.1000_0A,2012-01-24,14:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1917.1833_0B,F,     107, SB
B,1917.1833_0B,2012-01-24,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1917.1000_0A,F,     114, SB
A,1917.5792_0A,2012-01-25,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1917.5271_0B,LP,     107,NULL
B,1917.5271_0B,2012-01-25,00:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1917.5792_0A,FP,     114,NULL
A,1918.7042_0Ac,2012-01-26,05:24:00,       6,      97,    1117,       0,    1112,     -92,1918.7250_0Bc,LS,     107,NULL
B,1918.7250_0Bc,2012-01-26,05:24:48,      14,      81,    1139,     -30,    1071,     -92,1918.7042_0Ac,LS,     114,NULL
A,1919.1417_0A,2012-01-26,15:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1919.2042_0B,LP,     107,NULL
B,1919.2042_0B,2012-01-26,16:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1919.1417_0A,LP,     114,NULL
A,1919.3083_0Ac,2012-01-26,19:24:00,     285,      65,     525,      25,     505,      19,1919.3917_0Bc,F,     107,NULL
B,1919.3917_0Bc,2012-01-26,21:24:48,      50,      66,     454,      10,     479,       2,1919.3083_0Ac,L,     114,NULL
A,1919.7354_0Ac,2012-01-27,05:54:00,     178,      97,     415,       7,     414,     -10,1919.7771_0B,F,     107,NULL
B,1919.7771_0B,2012-01-27,06:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1919.7354_0Ac,FP,     114,NULL
A,1920.2771_0A,2012-01-27,18:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1920.2771_0Bc,LS,     107,NULL
B,1920.2771_0Bc,2012-01-27,18:39:48,       8,     131,    1902,     -74,    2771,    -224,1920.2771_0A,LS,     114,NULL
A,1921.5583_0A,2012-01-29,01:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1921.5271_0B,U,     107,NULL
B,1921.5271_0B,2012-01-29,00:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1921.5583_0A,U,     114,NULL
A,1921.5792_0A,2012-01-29,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1921.8188_0B,F,     107, SEP
