S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,801.0049_0A,2009-01-03,12:07:54,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      42,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,801.0049_0A,Z,      46,NULL
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,802.2549_0B,Z,      42,NULL
B,802.2549_0B,2009-01-04,18:07:54,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      46,NULL
A,803.7861_0A,2009-01-06,06:52:30,    -999,    -999,    -999,    -999,    -999,    -999,803.8174_0B,F,      42,NULL
B,803.8174_0B,2009-01-06,07:37:30,    -999,    -999,    -999,    -999,    -999,    -999,803.7861_0A,F,      46,NULL
A,804.9007_0A,2009-01-07,09:37:30,    -999,    -999,    -999,    -999,    -999,    -999,805.2132_0B,F,      42,NULL
B,805.2132_0B,2009-01-07,17:07:30,    -999,    -999,    -999,    -999,    -999,    -999,804.9007_0A,O,      46, GAP
A,805.9215_0A,2009-01-08,10:07:30,    -999,    -999,    -999,    -999,    -999,    -999,806.5674_0B,F,      42, OFL
B,806.5674_0B,2009-01-09,01:37:30,    -999,    -999,    -999,    -999,    -999,    -999,805.9215_0A,O,      46, faint ;  OFL
A,811.7340_0Ac,2009-01-14,07:07:30,      82,      24,     204,     -22,      38,       0,811.9215_0B,F,      42,NULL
B,811.9215_0B,2009-01-14,10:07:30,    -999,    -999,    -999,    -999,    -999,    -999,811.7340_0Ac,O,      46, GAP
A,813.2757_0A,2009-01-15,18:37:30,    -999,    -999,    -999,    -999,    -999,    -999,813.1924_0B,O,      42, faint
B,813.1924_0B,2009-01-15,16:37:30,    -999,    -999,    -999,    -999,    -999,    -999,813.2757_0A,O,      46, faint
A,813.5465_0A,2009-01-16,01:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      42,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,813.5465_0A,Z,      46,NULL
A,815.0257_0A,2009-01-17,12:37:30,    -999,    -999,    -999,    -999,    -999,    -999,814.9424_0B,F,      42, OFL
B,814.9424_0B,2009-01-17,10:37:30,    -999,    -999,    -999,    -999,    -999,    -999,815.0257_0A,O,      46, faint
A,818.1507_0A,2009-01-20,15:37:30,    -999,    -999,    -999,    -999,    -999,    -999,817.9215_0B,O,      42,NULL
B,817.9215_0B,2009-01-20,10:07:30,    -999,    -999,    -999,    -999,    -999,    -999,818.1507_0A,F,      46,NULL
A,819.2757_0A,2009-01-21,18:37:30,    -999,    -999,    -999,    -999,    -999,    -999,819.4424_0B,O,      42, faint ; HAL
B,819.4424_0B,2009-01-21,22:37:30,    -999,    -999,    -999,    -999,    -999,    -999,819.2757_0A,F,      46, GAP
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,822.6715_0B,Z,      42,NULL
B,822.6715_0B,2009-01-25,04:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      47,NULL
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,824.7549_0B,Z,      43,NULL
B,824.7549_0B,2009-01-27,06:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      47,NULL
A,826.7132_0A,2009-01-29,05:07:30,    -999,    -999,    -999,    -999,    -999,    -999,826.7757_0B,O,      43,NULL
B,826.7757_0B,2009-01-29,06:37:30,    -999,    -999,    -999,    -999,    -999,    -999,826.7132_0A,O,      47, faint
A,828.4424_0A,2009-01-30,22:37:30,    -999,    -999,    -999,    -999,    -999,    -999,829.1924_0B,F,      43,NULL
B,829.1924_0B,2009-01-31,16:37:30,    -999,    -999,    -999,    -999,    -999,    -999,828.4424_0A,O,      47, faint
A,828.6194_0A,2009-01-31,02:52:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      43,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,828.6194_0A,Z,      47,NULL
A,828.7340_0A,2009-01-31,05:37:30,    -999,    -999,    -999,    -999,    -999,    -999,828.6299_0B,F,      43,NULL
B,828.6299_0B,2009-01-31,03:07:30,    -999,    -999,    -999,    -999,    -999,    -999,828.7340_0A,O,      47,NULL
A,828.7340_1A,2009-01-31,05:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      43,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,828.7340_1A,Z,      47, faint ; GAP
A,833.4840_0A,2009-02-04,23:37:30,    -999,    -999,    -999,    -999,    -999,    -999,833.9007_0B,F,      43,NULL
B,833.9007_0B,2009-02-05,09:37:30,    -999,    -999,    -999,    -999,    -999,    -999,833.4840_0A,F,      47,NULL
A,834.7861_0A,2009-02-06,06:52:30,    -999,    -999,    -999,    -999,    -999,    -999,834.7132_0B,F,      43,NULL
B,834.7132_0B,2009-02-06,05:07:30,    -999,    -999,    -999,    -999,    -999,    -999,834.7861_0A,O,      47, GAP
A,837.7965_0A,2009-02-09,07:07:30,    -999,    -999,    -999,    -999,    -999,    -999,837.8174_0B,U,      43,NULL
B,837.8174_0B,2009-02-09,07:37:30,    -999,    -999,    -999,    -999,    -999,    -999,837.7965_0A,U,      47, faint
A,838.1507_0A,2009-02-09,15:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      43,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,838.1507_0A,Z,      47,NULL
A,839.1924_0A,2009-02-10,16:37:30,    -999,    -999,    -999,    -999,    -999,    -999,839.5049_0B,F,      43, OFL
B,839.5049_0B,2009-02-11,00:07:30,    -999,    -999,    -999,    -999,    -999,    -999,839.1924_0A,O,      47, faint
A,839.5049_0Ac,2009-02-11,00:37:30,      88,      41,     222,      -7,      51,      -6,839.5257_0B,F,      43, OFL
B,839.5257_0B,2009-02-11,00:37:30,    -999,    -999,    -999,    -999,    -999,    -999,839.5049_0Ac,O,      47, faint
A,841.2132_0A,2009-02-12,17:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      43,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,841.2132_0A,Z,      47,NULL
A,841.7757_0A,2009-02-13,06:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      43,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,841.7757_0A,Z,      47, faint
A,846.6715_0Ac,2009-02-18,05:52:30,      73,      33,     207,       5,     155,       2,847.1090_0B,F,      43,NULL
B,847.1090_0B,2009-02-18,14:37:30,    -999,    -999,    -999,    -999,    -999,    -999,846.6715_0Ac,F,      47, faint
A,849.2549_0A,2009-02-20,18:07:30,    -999,    -999,    -999,    -999,    -999,    -999,849.3799_0B,F,      43,NULL
B,849.3799_0B,2009-02-20,21:07:30,    -999,    -999,    -999,    -999,    -999,    -999,849.2549_0A,F,      47, GAP
A,850.9215_0A,2009-02-22,10:07:30,    -999,    -999,    -999,    -999,    -999,    -999,850.8799_0B,O,      43, faint
B,850.8799_0B,2009-02-22,09:07:30,    -999,    -999,    -999,    -999,    -999,    -999,850.9215_0A,U,      47, faint 
A,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,856.5049_0B,Z,      43,NULL
B,856.5049_0B,2009-02-28,00:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      47, GAP
A,858.1924_0A,2009-03-01,16:37:30,    -999,    -999,    -999,    -999,    -999,    -999,858.2132_0B,J,      43, faint
B,858.2132_0B,2009-03-01,17:07:30,    -999,    -999,    -999,    -999,    -999,    -999,858.1924_0A,J,      47,NULL
A,859.4424_0A,2009-03-02,22:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,J,      43,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,859.4424_0A,Z,      47, faint
A,860.4007_0A,2009-03-03,21:37:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,U,      44,NULL
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,860.4007_0A,Z,      47,NULL
A,861.6090_0A,2009-03-05,02:37:30,    -999,    -999,    -999,    -999,    -999,    -999,861.8799_0B,U,      44,NULL
B,861.8799_0B,2009-03-05,09:07:30,    -999,    -999,    -999,    -999,    -999,    -999,861.6090_0A,U,      47,NULL
A,862.8694_0A,2009-03-06,08:52:30,    -999,    -999,    -999,    -999,    -999,    -999,863.3382_0B,F,      44,NULL
B,863.3382_0B,2009-03-06,20:07:30,    -999,    -999,    -999,    -999,    -999,    -999,862.8694_0A,O,      47, GAP ; faint
A,864.3590_0A,2009-03-07,20:37:30,    -999,    -999,    -999,    -999,    -999,    -999,864.3590_0B,F,      44,NULL
B,864.3590_0B,2009-03-07,20:37:30,    -999,    -999,    -999,    -999,    -999,    -999,864.3590_0A,F,      47, GAP
A,866.2549_0A,2009-03-09,18:07:30,    -999,    -999,    -999,    -999,    -999,    -999,NULL,F,      44, GAP
B,NULL,NULL,NULL,    -999,    -999,    -999,    -999,    -999,    -999,866.2549_0A,Z,      47,NULL
A,873.0674_0A,2009-03-16,13:37:30,    -999,    -999,    -999,    -999,    -999,    -999,872.8590_0B,O,      44, faint ; HAL
