no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
248	2009-06-21	19:52:00	2009-06-21	17:52:45	315	45	116.727	16.835	52.571	-47.321	*	*	*	2009-06-21 19:52:00	2009-06-21 17:52:45	2009-06-21 18:52:00	2009-06-21 16:52:45	2009-06-21 17:52:00	2009-06-21 15:52:45	/gehme/data/soho/lasco/level_05/c2/20090621/22307653.fts	/gehme/data/soho/lasco/level_05/c2/20090621/22307647.fts	/gehme/data/soho/lasco/level_05/c2/20090621/22307650.fts	/gehme/data/soho/lasco/level_05/c2/20090621/22307644.fts
249	2009-06-23	14:52:00	2009-06-23	05:22:46	90	270	97.318	357.202	52.741	-47.375	52.780	47.732	*	2009-06-23 14:52:00	2009-06-23 05:22:46	2009-06-23 13:52:00	2009-06-23 04:22:46	2009-06-23 12:52:00	2009-06-23 03:22:46	/gehme/data/soho/lasco/level_05/c2/20090623/22307790.fts	/gehme/data/soho/lasco/level_05/c2/20090623/22307761.fts	/gehme/data/soho/lasco/level_05/c2/20090623/22307787.fts	/gehme/data/soho/lasco/level_05/c2/20090623/22307758.fts
250	2009-06-26	12:22:00	2009-06-26	12:22:47	90	45	54.127	313.502	53.120	-47.505	53.116	*	*	2009-06-26 12:22:00	2009-06-26 12:22:47	2009-06-26 11:22:00	2009-06-26 11:22:47	2009-06-26 10:22:00	2009-06-26 10:22:47	/gehme/data/soho/lasco/level_05/c2/20090626/22308014.fts	/gehme/data/soho/lasco/level_05/c2/20090626/22308014.fts	/gehme/data/soho/lasco/level_05/c2/20090626/22308012.fts	/gehme/data/soho/lasco/level_05/c2/20090626/22308012.fts
251	2009-06-27	*	2009-06-27	21:52:47	*	270	35.812	294.966	53.281	-47.565	53.259	47.935	101.194		2009-06-27 21:52:47	NaT	2009-06-27 20:52:47	NaT	2009-06-27 19:52:47	*	/gehme/data/soho/lasco/level_05/c2/20090627/22308096.fts	*	/gehme/data/soho/lasco/level_05/c2/20090627/22308094.fts
252	2009-06-30	*	2009-06-30	19:22:48	*	270	357.816	256.503	53.616	-47.698	53.555	48.072	*		2009-06-30 19:22:48	NaT	2009-06-30 18:22:48	NaT	2009-06-30 17:22:48	*	/gehme/data/soho/lasco/level_05/c2/20090630/22308313.fts	*	/gehme/data/soho/lasco/level_05/c2/20090630/22308310.fts
253	2009-07-02	*	2009-07-02	00:22:49	*	90	341.962	240.451	53.755	-47.756	53.679	48.132	*		2009-07-02 00:22:49	NaT	2009-07-01 23:22:49	NaT	2009-07-01 22:22:49	*	/gehme/data/soho/lasco/level_05/c2/20090701/22308406.fts	*	/gehme/data/soho/lasco/level_05/c2/20090701/22308404.fts
254	2009-07-03	02:22:00	2009-07-03	02:22:49	135	270	327.748	226.057	53.880	-47.811	53.790	48.187	*	2009-07-03 02:22:00	2009-07-03 02:22:49	2009-07-03 01:22:00	2009-07-03 01:22:49	2009-07-03 00:22:00	2009-07-03 00:22:49	/gehme/data/soho/lasco/level_05/c2/20090703/22308474.fts	/gehme/data/soho/lasco/level_05/c2/20090703/22308474.fts	/gehme/data/soho/lasco/level_05/c2/20090703/22308472.fts	/gehme/data/soho/lasco/level_05/c2/20090703/22308472.fts
255	2009-07-06	*	2009-07-06	01:22:49	*	270	288.933	186.744	54.221	-47.968	54.092	48.343	102.435		2009-07-06 01:22:49	NaT	2009-07-06 00:22:49	NaT	2009-07-05 23:22:49	*	/gehme/data/soho/lasco/level_05/c2/20090706/22308694.fts	*	/gehme/data/soho/lasco/level_05/c2/20090705/22308691.fts
256	2009-07-13	10:52:00	2009-07-13	*	90	*	191.892	88.413	55.061	-48.418	54.843	48.775	103.618	2009-07-13 10:52:00		2009-07-13 09:52:00	NaT	2009-07-13 08:52:00	NaT	No data	*	No data	*
257	2009-07-16	*	2009-07-16	22:22:49	*	135	146.239	42.134	55.447	-48.658	55.192	49.001	*		2009-07-16 22:22:49	NaT	2009-07-16 21:22:49	NaT	2009-07-16 20:22:49	*	/gehme/data/soho/lasco/level_05/c2/20090716/22309226.fts	*	/gehme/data/soho/lasco/level_05/c2/20090716/22309220.fts
258	2009-07-22	03:52:00	2009-07-22	*	270	*	77.619	332.554	56.013	-49.053	55.708	49.366	*	2009-07-22 03:52:00		2009-07-22 02:52:00	NaT	2009-07-22 01:52:00	NaT	/gehme/data/soho/lasco/level_05/c2/20090722/22309485.fts	*	/gehme/data/soho/lasco/level_05/c2/20090722/22309479.fts	*
259	2009-07-23	06:52:49	2009-07-23	08:22:00	90	270	62.855	317.580	56.132	-49.143	*	*	*	2009-07-23 06:52:49	2009-07-23 08:22:00	2009-07-23 05:52:49	2009-07-23 07:22:00	2009-07-23 04:52:49	2009-07-23 06:22:00	/gehme/data/soho/lasco/level_05/c2/20090723/22309559.fts	/gehme/data/soho/lasco/level_05/c2/20090723/22309564.fts	/gehme/data/soho/lasco/level_05/c2/20090723/22309556.fts	/gehme/data/soho/lasco/level_05/c2/20090723/22309561.fts
260	2009-07-26	02:52:00	2009-07-26	10:22:49	90	270	25.671	279.865	56.429	-49.377	56.093	49.662	*	2009-07-26 02:52:00	2009-07-26 10:22:49	2009-07-26 01:52:00	2009-07-26 09:22:49	2009-07-26 00:52:00	2009-07-26 08:22:49	/gehme/data/soho/lasco/level_05/c2/20090726/22309763.fts	/gehme/data/soho/lasco/level_05/c2/20090726/22309788.fts	/gehme/data/soho/lasco/level_05/c2/20090726/22309761.fts	/gehme/data/soho/lasco/level_05/c2/20090726/22309782.fts
261	2009-08-01	00:22:00	2009-08-01	00:22:49	45	45	201.360	308.285	57.028	-49.897	56.658	*	*	2009-08-01 00:22:00	2009-08-01 00:22:49	2009-07-31 23:22:00	2009-07-31 23:22:49	2009-07-31 22:22:00	2009-07-31 22:22:49	/gehme/data/soho/lasco/level_05/c2/20090731/22310114.fts	/gehme/data/soho/lasco/level_05/c2/20090731/22310114.fts	/gehme/data/soho/lasco/level_05/c2/20090731/22310112.fts	/gehme/data/soho/lasco/level_05/c2/20090731/22310112.fts
262	2009-08-04	18:22:00	2009-08-04	18:22:49	90	270	259.058	151.414	57.394	-50.250	57.010	50.449	*	2009-08-04 18:22:00	2009-08-04 18:22:49	2009-08-04 17:22:00	2009-08-04 17:22:49	2009-08-04 16:22:00	2009-08-04 16:22:49	/gehme/data/soho/lasco/level_05/c2/20090804/22310331.fts	/gehme/data/soho/lasco/level_05/c2/20090804/22310331.fts	/gehme/data/soho/lasco/level_05/c2/20090804/22310330.fts	/gehme/data/soho/lasco/level_05/c2/20090804/22310330.fts
263	2009-08-08	16:52:00	2009-08-08	01:52:49	90	90	215.568	107.286	57.707	-50.575	57.317	*	*	2009-08-08 16:52:00	2009-08-08 01:52:49	2009-08-08 15:52:00	2009-08-08 00:52:49	2009-08-08 14:52:00	2009-08-07 23:52:49	/gehme/data/soho/lasco/level_05/c2/20090808/22310573.fts	/gehme/data/soho/lasco/level_05/c2/20090808/22310512.fts	/gehme/data/soho/lasco/level_05/c2/20090808/22310565.fts	/gehme/data/soho/lasco/level_05/c2/20090807/22310507.fts
264	2009-08-11	14:22:49	2009-08-11	20:22:00	90	270	169.338	60.374	58.028	-50.936	57.637	51.062	*	2009-08-11 14:22:49	2009-08-11 20:22:00	2009-08-11 13:22:49	2009-08-11 19:22:00	2009-08-11 12:22:49	2009-08-11 18:22:00	No data	No data	No data	No data
265	2009-08-13	03:22:00	2009-08-13	*	270	*	149.094	39.831	58.164	-51.099	57.774	51.208	108.981	2009-08-13 03:22:00		2009-08-13 02:22:00	NaT	2009-08-13 01:22:00	NaT	No data	*	No data	*
266	2009-08-14	*	2009-08-14	22:52:49	*	270	125.291	15.677	58.320	-51.293	57.934	51.381	109.315		2009-08-14 22:52:49	NaT	2009-08-14 21:52:49	NaT	2009-08-14 20:52:49	*	/gehme/data/soho/lasco/level_05/c2/20090814/22310847.fts	*	/gehme/data/soho/lasco/level_05/c2/20090814/22310845.fts
267	2009-08-19	03:08:15	2009-08-19	05:09:04	270	90	70.420	319.997	58.667	-51.755	*	*	*	2009-08-19 03:08:15	2009-08-19 05:09:04	2009-08-19 02:08:15	2009-08-19 04:09:04	2009-08-19 01:08:15	2009-08-19 03:09:04	/gehme/data/soho/lasco/level_05/c2/20090819/22311165.fts	/gehme/data/soho/lasco/level_05/c2/20090819/22311174.fts	/gehme/data/soho/lasco/level_05/c2/20090819/22311162.fts	/gehme/data/soho/lasco/level_05/c2/20090819/22311171.fts
268	2009-08-19	10:08:15	2009-08-20	03:09:04	90	270	66.589	316.109	58.691	-51.788	58.320	51.824	*	2009-08-19 10:08:15	2009-08-20 03:09:04	2009-08-19 09:08:15	2009-08-20 02:09:04	2009-08-19 08:08:15	2009-08-20 01:09:04	/gehme/data/soho/lasco/level_05/c2/20090819/22311192.fts	/gehme/data/soho/lasco/level_05/c2/20090820/22311245.fts	/gehme/data/soho/lasco/level_05/c2/20090819/22311186.fts	/gehme/data/soho/lasco/level_05/c2/20090820/22311242.fts
269	2009-08-25	11:08:15	2009-08-25	20:09:04	90	270	347.220	235.574	59.158	-52.488	58.822	52.451	*	2009-08-25 11:08:15	2009-08-25 20:09:04	2009-08-25 10:08:15	2009-08-25 19:09:04	2009-08-25 09:08:15	2009-08-25 18:09:04	/gehme/data/soho/lasco/level_05/c2/20090825/22311654.fts	/gehme/data/soho/lasco/level_05/c2/20090825/22311680.fts	/gehme/data/soho/lasco/level_05/c2/20090825/22311651.fts	/gehme/data/soho/lasco/level_05/c2/20090825/22311678.fts
270	2009-08-31	01:08:15	2009-08-31	00:09:04	90	90	274.394	161.685	59.553	-53.155	59.265	53.053	*	2009-08-31 01:08:15	2009-08-31 00:09:04	2009-08-31 00:08:15	2009-08-30 23:09:04	2009-08-30 23:08:15	2009-08-30 22:09:04	/gehme/data/soho/lasco/level_05/c2/20090831/22312083.fts	/gehme/data/soho/lasco/level_05/c2/20090830/22312080.fts	/gehme/data/soho/lasco/level_05/c2/20090830/22312080.fts	/gehme/data/soho/lasco/level_05/c2/20090830/22312078.fts
271	2009-09-03	12:08:15	2009-09-03	05:09:04	90	270	232.230	118.910	59.769	-53.551	59.512	*	*	2009-09-03 12:08:15	2009-09-03 05:09:04	2009-09-03 11:08:15	2009-09-03 04:09:04	2009-09-03 10:08:15	2009-09-03 03:09:04	/gehme/data/soho/lasco/level_05/c2/20090903/22312354.fts	/gehme/data/soho/lasco/level_05/c2/20090903/22312332.fts	/gehme/data/soho/lasco/level_05/c2/20090903/22312352.fts	/gehme/data/soho/lasco/level_05/c2/20090903/22312329.fts
272	2009-09-09	06:08:15	2009-09-09	05:09:04	90	90	153.363	38.911	60.144	-54.308	59.957	54.102	*	2009-09-09 06:08:15	2009-09-09 05:09:04	2009-09-09 05:08:15	2009-09-09 04:09:04	2009-09-09 04:08:15	2009-09-09 03:09:04	/gehme/data/soho/lasco/level_05/c2/20090909/22312800.fts	/gehme/data/soho/lasco/level_05/c2/20090909/22312797.fts	/gehme/data/soho/lasco/level_05/c2/20090909/22312797.fts	/gehme/data/soho/lasco/level_05/c2/20090909/22312794.fts
273	2009-09-12	01:08:15	2009-09-13	03:09:04	270	135	116.123	1.143	60.308	-54.672	60.157	*	*	2009-09-12 01:08:15	2009-09-13 03:09:04	2009-09-12 00:08:15	2009-09-13 02:09:04	2009-09-11 23:08:15	2009-09-13 01:09:04	/gehme/data/soho/lasco/level_05/c2/20090912/22313019.fts	/gehme/data/soho/lasco/level_05/c2/20090913/22313103.fts	/gehme/data/soho/lasco/level_05/c2/20090911/22313016.fts	/gehme/data/soho/lasco/level_05/c2/20090913/22313100.fts
274	2009-09-14	00:08:15	2009-09-14	00:09:04	270	45	90.376	335.032	60.416	-54.927	*	*	*	2009-09-14 00:08:15	2009-09-14 00:09:04	2009-09-13 23:08:15	2009-09-13 23:09:04	2009-09-13 22:08:15	2009-09-13 22:09:04	/gehme/data/soho/lasco/level_05/c2/20090913/22313171.fts	/gehme/data/soho/lasco/level_05/c2/20090913/22313171.fts	/gehme/data/soho/lasco/level_05/c2/20090913/22313169.fts	/gehme/data/soho/lasco/level_05/c2/20090913/22313169.fts
275	2009-09-22	01:08:15	2009-09-22	00:09:04	90	270	345.168	228.362	60.824	-55.982	60.812	55.664	*	2009-09-22 01:08:15	2009-09-22 00:09:04	2009-09-22 00:08:15	2009-09-21 23:09:04	2009-09-21 23:08:15	2009-09-21 22:09:04	/gehme/data/soho/lasco/level_05/c2/20090922/22313759.fts	/gehme/data/soho/lasco/level_05/c2/20090921/22313756.fts	/gehme/data/soho/lasco/level_05/c2/20090921/22313756.fts	/gehme/data/soho/lasco/level_05/c2/20090921/22313754.fts
279	2009-09-30	11:08:15	2009-09-30	14:09:04	90/270	90	233.928	115.614	61.203	-57.111	*	*	*	2009-09-30 11:08:15	2009-09-30 14:09:04	2009-09-30 10:08:15	2009-09-30 13:09:04	2009-09-30 09:08:15	2009-09-30 12:09:04	/gehme/data/soho/lasco/level_05/c2/20090930/22314437.fts	/gehme/data/soho/lasco/level_05/c2/20090930/22314448.fts	/gehme/data/soho/lasco/level_05/c2/20090930/22314434.fts	/gehme/data/soho/lasco/level_05/c2/20090930/22314442.fts
280	2009-10-03	19:08:15	2009-10-03	19:09:04	270	90	190.081	71.184	61.341	-57.556	61.497	*	*	2009-10-03 19:08:15	2009-10-03 19:09:04	2009-10-03 18:08:15	2009-10-03 18:09:04	2009-10-03 17:08:15	2009-10-03 17:09:04	/gehme/data/soho/lasco/level_05/c2/20091003/22314717.fts	/gehme/data/soho/lasco/level_05/c2/20091003/22314717.fts	/gehme/data/soho/lasco/level_05/c2/20091003/22314715.fts	/gehme/data/soho/lasco/level_05/c2/20091003/22314715.fts
281	2009-10-13	14:08:15	2009-10-14	17:08:04	270	90	61.267	300.697	61.711	-58.860	*	*	*	2009-10-13 14:08:15	2009-10-14 17:08:04	2009-10-13 13:08:15	2009-10-14 16:08:04	2009-10-13 12:08:15	2009-10-14 15:08:04	/gehme/data/soho/lasco/level_05/c2/20091013/22315526.fts	/gehme/data/soho/lasco/level_05/c2/20091014/22315619.fts	/gehme/data/soho/lasco/level_05/c2/20091013/22315520.fts	/gehme/data/soho/lasco/level_05/c2/20091014/22315616.fts
282	2009-10-16	13:08:15	2009-10-17	00:09:04	90	270	22.347	261.282	61.813	-59.252	62.123	*	*	2009-10-16 13:08:15	2009-10-17 00:09:04	2009-10-16 12:08:15	2009-10-16 23:09:04	2009-10-16 11:08:15	2009-10-16 22:09:04	/gehme/data/soho/lasco/level_05/c2/20091016/22315765.fts	/gehme/data/soho/lasco/level_05/c2/20091016/22315805.fts	/gehme/data/soho/lasco/level_05/c2/20091016/22315762.fts	/gehme/data/soho/lasco/level_05/c2/20091016/22315803.fts
283	2009-10-20	14:08:15	2009-10-20	12:09:04	270	90	330.261	208.543	61.945	-59.773	*	*	*	2009-10-20 14:08:15	2009-10-20 12:09:04	2009-10-20 13:08:15	2009-10-20 11:09:04	2009-10-20 12:08:15	2009-10-20 10:09:04	/gehme/data/soho/lasco/level_05/c2/20091020/22316107.fts	/gehme/data/soho/lasco/level_05/c2/20091020/22316099.fts	/gehme/data/soho/lasco/level_05/c2/20091020/22316101.fts	/gehme/data/soho/lasco/level_05/c2/20091020/22316097.fts
284	2009-10-21	*	2009-10-21	23:09:04	*	90	311.075	189.118	61.993	-59.964	62.351	59.608	121.959		2009-10-21 23:09:04	NaT	2009-10-21 22:09:04	NaT	2009-10-21 21:09:04	*	/gehme/data/soho/lasco/level_05/c2/20091021/22316224.fts	*	/gehme/data/soho/lasco/level_05/c2/20091021/22316221.fts
286	2009-10-23	*	2009-10-23	19:08:15	*	90	286.965	164.710	62.053	-60.203	62.424	59.857	*		2009-10-23 19:08:15	NaT	2009-10-23 18:08:15	NaT	2009-10-23 17:08:15	*	/gehme/data/soho/lasco/level_05/c2/20091023/22316375.fts	*	/gehme/data/soho/lasco/level_05/c2/20091023/22316372.fts
287	2009-10-27	19:08:15	2009-10-27	19:09:04	90	270	234.341	111.442	62.181	-60.718	62.576	*	*	2009-10-27 19:08:15	2009-10-27 19:09:04	2009-10-27 18:08:15	2009-10-27 18:09:04	2009-10-27 17:08:15	2009-10-27 17:09:04	/gehme/data/soho/lasco/level_05/c2/20091027/22316675.fts	/gehme/data/soho/lasco/level_05/c2/20091027/22316675.fts	/gehme/data/soho/lasco/level_05/c2/20091027/22316672.fts	/gehme/data/soho/lasco/level_05/c2/20091027/22316672.fts
288	2009-10-31	05:08:15	2009-10-31	05:09:04	90	270	189.393	65.952	62.289	-61.153	62.699	*	*	2009-10-31 05:08:15	2009-10-31 05:09:04	2009-10-31 04:08:15	2009-10-31 04:09:04	2009-10-31 03:08:15	2009-10-31 03:09:04	/gehme/data/soho/lasco/level_05/c2/20091031/22317152.fts	/gehme/data/soho/lasco/level_05/c2/20091031/22317152.fts	/gehme/data/soho/lasco/level_05/c2/20091031/22317146.fts	/gehme/data/soho/lasco/level_05/c2/20091031/22317146.fts
289	2009-11-05	01:08:15	2009-11-05	01:09:04	90	90	125.811	1.613	62.440	-61.757	62.861	*	*	2009-11-05 01:08:15	2009-11-05 01:09:04	2009-11-05 00:08:15	2009-11-05 00:09:04	2009-11-04 23:08:15	2009-11-04 23:09:04	No data	No data	No data	No data
290	2009-11-05	*	2009-11-05	19:09:04	*	270	115.936	351.622	62.464	-61.850	62.885	61.610	124.495		2009-11-05 19:09:04	NaT	2009-11-05 18:09:04	NaT	2009-11-05 17:09:04	*	No data	*	No data
291	2009-11-08	05:08:15	2009-11-08	06:09:04	270	45	84.156	319.470	62.538	-62.148	62.960	*	*	2009-11-08 05:08:15	2009-11-08 06:09:04	2009-11-08 04:08:15	2009-11-08 05:09:04	2009-11-08 03:08:15	2009-11-08 04:09:04	No data	No data	No data	No data
292	2009-11-13	23:09:04	2009-11-13	23:08:15	90	270	8.525	242.966	62.714	-62.845	63.122	*	*	2009-11-13 23:09:04	2009-11-13 23:08:15	2009-11-13 22:09:04	2009-11-13 22:08:15	2009-11-13 21:09:04	2009-11-13 21:08:15	/gehme/data/soho/lasco/level_05/c2/20091113/22318093.fts	/gehme/data/soho/lasco/level_05/c2/20091113/22318093.fts	/gehme/data/soho/lasco/level_05/c2/20091113/22318090.fts	/gehme/data/soho/lasco/level_05/c2/20091113/22318090.fts
293	2009-11-15	13:08:15	2009-11-15	*	270	*	347.700	221.905	62.762	-63.034	63.164	62.908	*	2009-11-15 13:08:15		2009-11-15 12:08:15	NaT	2009-11-15 11:08:15	NaT	/gehme/data/soho/lasco/level_05/c2/20091115/22318212.fts	*	/gehme/data/soho/lasco/level_05/c2/20091115/22318209.fts	*
294	2009-11-16	17:08:15	2009-11-16	06:09:04	270	90	338.375	212.474	62.783	-63.118	*	*	*	2009-11-16 17:08:15	2009-11-16 06:09:04	2009-11-16 16:08:15	2009-11-16 05:09:04	2009-11-16 15:08:15	2009-11-16 04:09:04	/gehme/data/soho/lasco/level_05/c2/20091116/22318306.fts	/gehme/data/soho/lasco/level_05/c2/20091116/22318268.fts	/gehme/data/soho/lasco/level_05/c2/20091116/22318302.fts	/gehme/data/soho/lasco/level_05/c2/20091116/22318265.fts
295	2009-11-18	11:08:15	2009-11-18	09:09:04	225	90	310.428	184.212	62.848	-63.368	*	*	*	2009-11-18 11:08:15	2009-11-18 09:09:04	2009-11-18 10:08:15	2009-11-18 08:09:04	2009-11-18 09:08:15	2009-11-18 07:09:04	/gehme/data/soho/lasco/level_05/c2/20091118/22328690.fts	/gehme/data/soho/lasco/level_05/c2/20091118/22328450.fts	/gehme/data/soho/lasco/level_05/c2/20091118/22328687.fts	/gehme/data/soho/lasco/level_05/c2/20091118/22328447.fts
297	2009-11-20	10:08:15	2009-11-20	10:09:04	270	90	283.587	157.071	62.910	-63.607	63.284	*	*	2009-11-20 10:08:15	2009-11-20 10:09:04	2009-11-20 09:08:15	2009-11-20 09:09:04	2009-11-20 08:08:15	2009-11-20 08:09:04	/gehme/data/soho/lasco/level_05/c2/20091120/22318362.fts	/gehme/data/soho/lasco/level_05/c2/20091120/22318362.fts	/gehme/data/soho/lasco/level_05/c2/20091120/22318356.fts	/gehme/data/soho/lasco/level_05/c2/20091120/22318356.fts
298	2009-11-20	*	2009-11-20	22:09:04	*	90	277.002	150.413	62.925	-63.665	63.295	63.610	*		2009-11-20 22:09:04	NaT	2009-11-20 21:09:04	NaT	2009-11-20 20:09:04	*	/gehme/data/soho/lasco/level_05/c2/20091120/22318398.fts	*	/gehme/data/soho/lasco/level_05/c2/20091120/22318396.fts
299	2009-11-21	08:08:15	2009-11-21	11:09:04	90	270	271.532	144.882	62.938	-63.713	63.305	*	*	2009-11-21 08:08:15	2009-11-21 11:09:04	2009-11-21 07:08:15	2009-11-21 10:09:04	2009-11-21 06:08:15	2009-11-21 09:09:04	/gehme/data/soho/lasco/level_05/c2/20091121/22318427.fts	/gehme/data/soho/lasco/level_05/c2/20091121/22318439.fts	/gehme/data/soho/lasco/level_05/c2/20091121/22318424.fts	/gehme/data/soho/lasco/level_05/c2/20091121/22318432.fts
300	2009-11-22	06:08:15	2009-11-22	*	270	*	259.477	132.694	62.966	-63.818	63.326	63.782	*	2009-11-22 06:08:15		2009-11-22 05:08:15	NaT	2009-11-22 04:08:15	NaT	/gehme/data/soho/lasco/level_05/c2/20091122/22318500.fts	*	/gehme/data/soho/lasco/level_05/c2/20091122/22318498.fts	*
301	2009-11-28	03:08:15	2009-11-28	*	90	*	182.225	54.596	63.148	-64.480	63.455	64.527	*	2009-11-28 03:08:15		2009-11-28 02:08:15	NaT	2009-11-28 01:08:15	NaT	/gehme/data/soho/lasco/level_05/c2/20091128/22318955.fts	*	/gehme/data/soho/lasco/level_05/c2/20091128/22318953.fts	*
302	2009-11-29	*	2009-11-29	09:09:04	*	270	165.780	37.975	63.187	-64.618	63.481	64.682	*		2009-11-29 09:09:04	NaT	2009-11-29 08:09:04	NaT	2009-11-29 07:09:04	*	/gehme/data/soho/lasco/level_05/c2/20091129/22319050.fts	*	/gehme/data/soho/lasco/level_05/c2/20091129/22319047.fts
303	2009-12-02	01:08:15	2009-12-02	00:09:04	270	90	131.267	3.093	63.270	-64.904	63.534	*	*	2009-12-02 01:08:15	2009-12-02 00:09:04	2009-12-02 00:08:15	2009-12-01 23:09:04	2009-12-01 23:08:15	2009-12-01 22:09:04	/gehme/data/soho/lasco/level_05/c2/20091202/22319260.fts	/gehme/data/soho/lasco/level_05/c2/20091201/22319258.fts	/gehme/data/soho/lasco/level_05/c2/20091201/22319258.fts	/gehme/data/soho/lasco/level_05/c2/20091201/22319256.fts
304	2009-12-04	*	2009-12-04	14:09:04	*	270	97.304	328.771	63.352	-65.181	63.585	65.318	128.903		2009-12-04 14:09:04	NaT	2009-12-04 13:09:04	NaT	2009-12-04 12:09:04	*	/gehme/data/soho/lasco/level_05/c2/20091204/22319459.fts	*	/gehme/data/soho/lasco/level_05/c2/20091204/22319457.fts
305	2009-12-06	*	2009-12-06	13:09:04	*	270	71.560	302.757	63.414	-65.388	63.622	65.552	*		2009-12-06 13:09:04	NaT	2009-12-06 12:09:04	NaT	2009-12-06 11:09:04	*	/gehme/data/soho/lasco/level_05/c2/20091206/22319607.fts	*	/gehme/data/soho/lasco/level_05/c2/20091206/22319604.fts
306	2009-12-13	11:08:15	2009-12-13	*	90	*	340.649	210.915	63.631	-66.102	63.743	66.356	*	2009-12-13 11:08:15		2009-12-13 10:08:15	NaT	2009-12-13 09:08:15	NaT	/gehme/data/soho/lasco/level_05/c2/20091213/22320144.fts	*	/gehme/data/soho/lasco/level_05/c2/20091213/22320142.fts	*
307	2009-12-16	03:08:15	2009-12-16	04:08:58	90	270	305.599	175.515	63.714	-66.370	63.787	*	*	2009-12-16 03:08:15	2009-12-16 04:08:58	2009-12-16 02:08:15	2009-12-16 03:08:58	2009-12-16 01:08:15	2009-12-16 02:08:58	/gehme/data/soho/lasco/level_05/c2/20091216/22320350.fts	/gehme/data/soho/lasco/level_05/c2/20091216/22320356.fts	/gehme/data/soho/lasco/level_05/c2/20091216/22320347.fts	/gehme/data/soho/lasco/level_05/c2/20091216/22320350.fts
308	2009-12-22	04:08:56	2009-12-21	22:08:15	270	90	229.481	98.654	63.893	-66.933	*	*	*	2009-12-22 04:08:56	2009-12-21 22:08:15	2009-12-22 03:08:56	2009-12-21 21:08:15	2009-12-22 02:08:56	2009-12-21 20:08:15	/gehme/data/soho/lasco/level_05/c2/20091222/22320817.fts	/gehme/data/soho/lasco/level_05/c2/20091221/22320796.fts	/gehme/data/soho/lasco/level_05/c2/20091222/22320811.fts	/gehme/data/soho/lasco/level_05/c2/20091221/22320794.fts
309	2009-12-28	*	2009-12-28	17:08:54	*	270	140.229	8.563	64.104	-67.562	63.989	67.967	*		2009-12-28 17:08:54	NaT	2009-12-28 16:08:54	NaT	2009-12-28 15:08:54	*	/gehme/data/soho/lasco/level_05/c2/20091228/22321326.fts	*	/gehme/data/soho/lasco/level_05/c2/20091228/22321324.fts
310	2009-12-30	17:08:15	2009-12-30	16:08:53	90	270	114.495	342.594	64.165	-67.736	64.021	*	*	2009-12-30 17:08:15	2009-12-30 16:08:53	2009-12-30 16:08:15	2009-12-30 15:08:53	2009-12-30 15:08:15	2009-12-30 14:08:53	/gehme/data/soho/lasco/level_05/c2/20091230/22321483.fts	/gehme/data/soho/lasco/level_05/c2/20091230/22321480.fts	/gehme/data/soho/lasco/level_05/c2/20091230/22321480.fts	/gehme/data/soho/lasco/level_05/c2/20091230/22321474.fts
311	2010-01-01	23:08:15	2010-01-01	19:08:52	90	270	86.572	314.420	64.230	-67.922	64.057	68.352	*	2010-01-01 23:08:15	2010-01-01 19:08:52	2010-01-01 22:08:15	2010-01-01 18:08:52	2010-01-01 21:08:15	2010-01-01 17:08:52	/gehme/data/soho/lasco/level_05/c2/20100101/22321660.fts	/gehme/data/soho/lasco/level_05/c2/20100101/22321646.fts	/gehme/data/soho/lasco/level_05/c2/20100101/22321657.fts	/gehme/data/soho/lasco/level_05/c2/20100101/22321643.fts
312	2010-01-03	*	2010-01-03	12:08:52	*	270	64.124	291.773	64.282	-68.069	64.086	68.507	*		2010-01-03 12:08:52	NaT	2010-01-03 11:08:52	NaT	2010-01-03 10:08:52	*	/gehme/data/soho/lasco/level_05/c2/20100103/22321776.fts	*	/gehme/data/soho/lasco/level_05/c2/20100103/22321772.fts
313	2010-01-06	00:08:15	2010-01-06	00:08:51	270	90	31.275	258.637	64.357	-68.280	64.129	*	*	2010-01-06 00:08:15	2010-01-06 00:08:51	2010-01-05 23:08:15	2010-01-05 23:08:51	2010-01-05 22:08:15	2010-01-05 22:08:51	/gehme/data/soho/lasco/level_05/c2/20100105/22321970.fts	/gehme/data/soho/lasco/level_05/c2/20100105/22321970.fts	/gehme/data/soho/lasco/level_05/c2/20100105/22321968.fts	/gehme/data/soho/lasco/level_05/c2/20100105/22321968.fts
314	2010-01-07	11:08:15	2010-01-07	12:08:50	270	90	12.113	239.310	64.401	-68.402	64.154	*	*	2010-01-07 11:08:15	2010-01-07 12:08:50	2010-01-07 10:08:15	2010-01-07 11:08:50	2010-01-07 09:08:15	2010-01-07 10:08:50	/gehme/data/soho/lasco/level_05/c2/20100107/22322085.fts	/gehme/data/soho/lasco/level_05/c2/20100107/22322088.fts	/gehme/data/soho/lasco/level_05/c2/20100107/22322082.fts	/gehme/data/soho/lasco/level_05/c2/20100107/22322085.fts
