no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h
1	2007-01-09	00:02:40	2007-01-09	*	45	*	353.555	353.415	0.219	0.079	0.251	0.103	0.150	2007-01-09 00:02:40		2007-01-08 23:02:40		2007-01-08 22:02:40	
2	2007-01-15	12:02:40	2007-01-15	*	315	*	268.009	267.751	0.266	0.008	0.298	0.043	0.274	2007-01-15 12:02:40		2007-01-15 11:02:40		2007-01-15 10:02:40	
3	2007-01-19	05:02:40	2007-01-19	05:02:44	0/360	45/215	219.214	218.872	0.298	-0.044	0.328	0.048	*	2007-01-19 05:02:40	2007-01-19 05:02:44	2007-01-19 04:02:40	2007-01-19 04:02:44	2007-01-19 03:02:40	2007-01-19 03:02:44
4	2007-01-24	06:02:40	2007-01-24	*	90	*	152.885	152.418	0.350	-0.118	0.378	0.140	0.516	2007-01-24 06:02:40		2007-01-24 05:02:40		2007-01-24 04:02:40	
5	2007-01-24	15:02:40	2007-01-24	15:02:46	90	90	147.952	147.477	0.354	-0.121	0.382	0.147	*	2007-01-24 15:02:40	2007-01-24 15:02:46	2007-01-24 14:02:40	2007-01-24 14:02:46	2007-01-24 13:02:40	2007-01-24 13:02:46
6	2007-01-28	05:02:40	2007-01-28	*	90	*	100.817	100.295	0.398	-0.123	0.424	0.173	0.585	2007-01-28 05:02:40		2007-01-28 04:02:40		2007-01-28 03:02:40	
7	2007-01-30	11:02:40	2007-01-30	12:02:48	270	270	71.223	70.679	0.430	-0.115	0.453	0.171	*	2007-01-30 11:02:40	2007-01-30 12:02:48	2007-01-30 10:02:40	2007-01-30 11:02:48	2007-01-30 09:02:40	2007-01-30 10:02:48
8	2007-02-02	02:02:40	2007-02-02	*	90	*	36.700	36.128	0.469	-0.103	0.490	0.163	0.633	2007-02-02 02:02:40		2007-02-02 01:02:40		2007-02-02 00:02:40	
9	2007-02-09	17:02:40	2007-02-09	*	90	*	296.435	295.750	0.601	-0.084	0.615	0.130	0.725	2007-02-09 17:02:40		2007-02-09 16:02:40		2007-02-09 15:02:40	
10	2007-02-11	15:02:40	2007-02-11	18:02:52	225	225	271.235	270.513	0.638	-0.084	0.650	0.124	*	2007-02-11 15:02:40	2007-02-11 18:02:52	2007-02-11 14:02:40	2007-02-11 17:02:52	2007-02-11 13:02:40	2007-02-11 16:02:52
11	2007-02-12	11:02:40	2007-02-12	*	90	*	260.279	259.540	0.654	-0.085	0.666	0.121	0.770	2007-02-12 11:02:40		2007-02-12 10:02:40		2007-02-12 09:02:40	
12	2007-02-17	15:02:40	2007-02-17	15:02:54	90/135	90	192.357	191.495	0.764	-0.098	0.772	0.114	*	2007-02-17 15:02:40	2007-02-17 15:02:54	2007-02-17 14:02:40	2007-02-17 14:02:54	2007-02-17 13:02:40	2007-02-17 13:02:54
13	2007-02-19	16:02:40	2007-02-19	17:02:55	90	90	165.519	164.601	0.812	-0.107	0.817	*	*	2007-02-19 16:02:40	2007-02-19 17:02:55	2007-02-19 15:02:40	2007-02-19 16:02:55	2007-02-19 14:02:40	2007-02-19 15:02:55
14	2007-02-20	20:02:40	2007-02-20	20:02:55	270	270	150.184	149.231	0.840	-0.113	0.844	*	*	2007-02-20 20:02:40	2007-02-20 20:02:55	2007-02-20 19:02:40	2007-02-20 19:02:55	2007-02-20 18:02:40	2007-02-20 18:02:55
15	2007-02-24	14:02:40	2007-02-24	15:02:56	90	90	100.894	99.821	0.937	-0.136	0.938	*	*	2007-02-24 14:02:40	2007-02-24 15:02:56	2007-02-24 13:02:40	2007-02-24 14:02:56	2007-02-24 12:02:40	2007-02-24 13:02:56
16	2007-03-05	02:27:00	2007-03-05	*	315	*	348.954	347.550	1.194	-0.210	1.188	0.210	*	2007-03-05 02:27:00		2007-03-05 01:27:00		2007-03-05 00:27:00	
17	2007-03-05	15:57:00	2007-03-05	*	45	*	341.562	340.133	1.212	-0.217	1.206	0.217	*	2007-03-05 15:57:00		2007-03-05 14:57:00		2007-03-05 13:57:00	
18	2007-03-07	07:27:00	2007-03-07	*	270	*	319.933	318.429	1.268	-0.236	1.261	0.237	*	2007-03-07 07:27:00		2007-03-07 06:27:00		2007-03-07 05:27:00	
19	2007-03-09	19:02:40	2007-03-09	*	270	*	287.308	285.685	1.355	-0.268	1.346	0.271	*	2007-03-09 19:02:40		2007-03-09 18:02:40		2007-03-09 17:02:40	
20	2007-03-12	00:02:40	2007-03-12	00:03:01	90	90	258.289	256.554	1.436	-0.299	1.426	*	*	2007-03-12 00:02:40	2007-03-12 00:03:01	2007-03-11 23:02:40	2007-03-11 23:03:01	2007-03-11 22:02:40	2007-03-11 22:03:01
21	2007-03-15	18:02:40	2007-03-15	14:03:03	270	270	211.192	209.262	1.573	-0.357	1.562	*	*	2007-03-15 18:02:40	2007-03-15 14:03:03	2007-03-15 17:02:40	2007-03-15 13:03:03	2007-03-15 16:02:40	2007-03-15 12:03:03
22	2007-03-20	14:57:00	2007-03-20	*	225	*	144.998	142.765	1.781	-0.452	1.767	0.464	*	2007-03-20 14:57:00		2007-03-20 13:57:00		2007-03-20 12:57:00	
23	2007-03-21	05:57:00	2007-03-21	04:57:25	90	90	137.333	135.063	1.806	-0.464	1.792	*	*	2007-03-21 05:57:00	2007-03-21 04:57:25	2007-03-21 04:57:00	2007-03-21 03:57:25	2007-03-21 03:57:00	2007-03-21 02:57:25
24	2007-03-27	14:27:00	2007-03-27	15:27:27	225	225	137.333	135.063	1.806	-0.464	1.792	0.477	*	2007-03-27 14:27:00	2007-03-27 15:27:27	2007-03-27 13:27:00	2007-03-27 14:27:27	2007-03-27 12:27:00	2007-03-27 13:27:27
25	2007-03-31	09:52:30	2007-03-31	09:52:58	270	270	3.238	0.245	2.290	-0.703	2.277	0.724	2.985	2007-03-31 09:52:30	2007-03-31 09:52:58	2007-03-31 08:52:30	2007-03-31 08:52:58	2007-03-31 07:52:30	2007-03-31 07:52:58
26	2007-04-03	03:52:30	2007-04-03	05:23:00	225	225	327.102	323.890	2.435	-0.777	2.422	0.801	3.207	2007-04-03 03:52:30	2007-04-03 05:23:00	2007-04-03 02:52:30	2007-04-03 04:23:00	2007-04-03 01:52:30	2007-04-03 03:23:00
27	2007-04-10	03:52:30	2007-04-10	05:23:02	270	270	235.117	231.298	2.827	-0.991	2.818	*	*	2007-04-10 03:52:30	2007-04-10 05:23:02	2007-04-10 02:52:30	2007-04-10 04:23:02	2007-04-10 01:52:30	2007-04-10 03:23:02
28	2007-04-14	17:22:30	2007-04-14	17:23:04	270	270	175.160	170.909	3.100	-1.151	3.095	1.184	*	2007-04-14 17:22:30	2007-04-14 17:23:04	2007-04-14 16:22:30	2007-04-14 16:23:04	2007-04-14 15:22:30	2007-04-14 15:23:04
29	2007-04-17	12:22:30	2007-04-17	12:23:05	135	135	138.473	133.943	3.274	-1.256	3.271	1.292	4.549	2007-04-17 12:22:30	2007-04-17 12:23:05	2007-04-17 11:22:30	2007-04-17 11:23:05	2007-04-17 10:22:30	2007-04-17 10:23:05
30	2007-04-18	22:52:30	2007-04-18	*	90	*	119.582	114.903	3.366	-1.313	3.365	1.350	*	2007-04-18 22:52:30		2007-04-18 21:52:30		2007-04-18 20:52:30	
31	2007-05-01	11:22:30	2007-05-01	*	90	*	315.030	308.935	4.232	-1.862	4.249	1.911	*	2007-05-01 11:22:30		2007-05-01 10:22:30		2007-05-01 09:22:30	
32	2007-05-06	01:52:30	2007-05-06	02:23:13	90	90	254.518	247.847	4.580	-2.092	4.604	2.145	6.738	2007-05-06 01:52:30	2007-05-06 02:23:13	2007-05-06 00:52:30	2007-05-06 01:23:13	2007-05-05 23:52:30	2007-05-06 00:23:13
33	2007-05-07	16:22:30	2007-05-07	17:53:14	90	90	233.435	226.555	4.704	-2.175	4.731	*	*	2007-05-07 16:22:30	2007-05-07 17:53:14	2007-05-07 15:22:30	2007-05-07 16:53:14	2007-05-07 14:22:30	2007-05-07 15:53:14
34	2007-05-08	06:52:30	2007-05-08	07:23:14	90	90	225.494	218.536	4.751	-2.207	4.779	*	*	2007-05-08 06:52:30	2007-05-08 07:23:14	2007-05-08 05:52:30	2007-05-08 06:23:14	2007-05-08 04:52:30	2007-05-08 05:23:14
35	2007-05-09	04:22:30	2007-05-09	04:53:14	90	90	213.720	206.643	4.821	-2.256	4.851	2.312	7.153	2007-05-09 04:22:30	2007-05-09 04:53:14	2007-05-09 03:22:30	2007-05-09 03:53:14	2007-05-09 02:22:30	2007-05-09 02:53:14
36	2007-05-09	16:22:30	2007-05-09	16:23:14	270	270	207.149	200.005	4.861	-2.283	4.891	2.340	*	2007-05-09 16:22:30	2007-05-09 16:23:14	2007-05-09 15:22:30	2007-05-09 15:23:14	2007-05-09 14:22:30	2007-05-09 14:23:14
37	2007-05-14	16:22:30	2007-05-14	15:53:16	45	45	141.699	133.873	5.262	-2.564	5.301	2.626	7.919	2007-05-14 16:22:30	2007-05-14 15:53:16	2007-05-14 15:22:30	2007-05-14 14:53:16	2007-05-14 14:22:30	2007-05-14 13:53:16
38	2007-05-15	19:22:30	2007-05-15	20:23:17	45	45	126.649	118.661	5.356	-2.632	5.397	2.695	8.084	2007-05-15 19:22:30	2007-05-15 20:23:17	2007-05-15 18:22:30	2007-05-15 19:23:17	2007-05-15 17:22:30	2007-05-15 18:23:17
39	2007-05-20	07:52:30	2007-05-20	08:53:19	180	225	67.233	58.589	5.736	-2.908	5.785	2.976	8.753	2007-05-20 07:52:30	2007-05-20 08:53:19	2007-05-20 06:52:30	2007-05-20 07:53:19	2007-05-20 05:52:30	2007-05-20 06:53:19
40	2007-05-21	19:22:30	2007-05-21	18:53:19	90	90	48.058	39.197	5.861	-3.000	5.913	3.069	8.975	2007-05-21 19:22:30	2007-05-21 18:53:19	2007-05-21 18:22:30	2007-05-21 17:53:19	2007-05-21 17:22:30	2007-05-21 16:53:19
41	2007-05-22	16:22:30	2007-05-22	16:53:19	270	270	36.294	27.297	5.939	-3.057	5.992	3.127	9.112	2007-05-22 16:22:30	2007-05-22 16:53:19	2007-05-22 15:22:30	2007-05-22 15:53:19	2007-05-22 14:22:30	2007-05-22 14:53:19
42	2007-05-23	08:22:30	2007-05-23	08:53:20	270	270	27.532	18.435	5.997	-3.100	6.051	3.171	9.215	2007-05-23 08:22:30	2007-05-23 08:53:20	2007-05-23 07:22:30	2007-05-23 07:53:20	2007-05-23 06:22:30	2007-05-23 06:53:20
43	2007-05-23	08:22:30	2007-05-23	22:23:20	45	45	27.532	18.435	5.997	-3.100	6.051	3.171	*	2007-05-23 08:22:30	2007-05-23 22:23:20	2007-05-23 07:22:30	2007-05-23 21:23:20	2007-05-23 06:22:30	2007-05-23 20:23:20
44	2007-05-26	21:52:30	2007-05-26	21:53:21	270	270	340.714	331.066	6.313	-3.335	6.372	3.408	9.774	2007-05-26 21:52:30	2007-05-26 21:53:21	2007-05-26 20:52:30	2007-05-26 20:53:21	2007-05-26 19:52:30	2007-05-26 19:53:21
45	2007-05-30	01:22:30	2007-05-30	01:23:22	90	90	299.373	289.226	6.599	-3.549	6.662	3.625	10.281	2007-05-30 01:22:30	2007-05-30 01:23:22	2007-05-30 00:22:30	2007-05-30 00:23:22	2007-05-29 23:22:30	2007-05-29 23:23:22
46	2007-06-02	00:52:30	2007-06-02	01:53:23	90	90	260.224	249.592	6.875	-3.758	6.941	3.836	*	2007-06-02 00:52:30	2007-06-02 01:53:23	2007-06-01 23:52:30	2007-06-02 00:53:23	2007-06-01 22:52:30	2007-06-01 23:53:23
47	2007-06-02	04:22:30	2007-06-02	*	270	*	258.308	247.651	6.888	-3.768	6.955	3.846	*	2007-06-02 04:22:30		2007-06-02 03:22:30		2007-06-02 02:22:30	
48	2007-06-03	10:22:30	2007-06-03	10:53:23	90	90	241.882	231.019	7.006	-3.858	7.074	3.937	11.005	2007-06-03 10:22:30	2007-06-03 10:53:23	2007-06-03 09:22:30	2007-06-03 09:53:23	2007-06-03 08:22:30	2007-06-03 08:53:23
49	2007-06-04	21:22:30	2007-06-05	03:23:24	270	270	222.719	211.612	7.143	-3.964	7.212	4.044	*	2007-06-04 21:22:30	2007-06-05 03:23:24	2007-06-04 20:22:30	2007-06-05 02:23:24	2007-06-04 19:22:30	2007-06-05 01:23:24
50	2007-06-07	20:22:30	2007-06-07	21:23:25	225	225	183.847	172.238	7.425	-4.185	7.497	4.266	11.758	2007-06-07 20:22:30	2007-06-07 21:23:25	2007-06-07 19:22:30	2007-06-07 20:23:25	2007-06-07 18:22:30	2007-06-07 19:23:25
51	2007-06-10	10:22:30	2007-06-10	10:53:26	135	135	149.905	137.848	7.674	-4.383	7.747	*	*	2007-06-10 10:22:30	2007-06-10 10:53:26	2007-06-10 09:22:30	2007-06-10 09:53:26	2007-06-10 08:22:30	2007-06-10 08:53:26
52	2007-06-12	03:52:30	2007-06-12	06:53:26	45	45	127.186	114.826	7.843	-4.518	7.916	4.601	12.513	2007-06-12 03:52:30	2007-06-12 06:53:26	2007-06-12 02:52:30	2007-06-12 05:53:26	2007-06-12 01:52:30	2007-06-12 04:53:26
53	2007-06-17	07:52:30	2007-06-17	07:53:28	270	270	59.309	46.021	8.352	-4.936	8.425	*	*	2007-06-17 07:52:30	2007-06-17 07:53:28	2007-06-17 06:52:30	2007-06-17 06:53:28	2007-06-17 05:52:30	2007-06-17 05:53:28
54	2007-06-19	15:22:30	2007-06-19	16:23:28	270	270	28.932	15.219	8.584	-5.128	8.656	*	*	2007-06-19 15:22:30	2007-06-19 16:23:28	2007-06-19 14:22:30	2007-06-19 15:23:28	2007-06-19 13:22:30	2007-06-19 14:23:28
55	2007-06-27	05:52:30	2007-06-27	12:53:30	225	225	289.053	273.908	9.362	-5.784	9.426	5.863	*	2007-06-27 05:52:30	2007-06-27 12:53:30	2007-06-27 04:52:30	2007-06-27 11:53:30	2007-06-27 03:52:30	2007-06-27 10:53:30
56	2007-06-29	17:52:30	2007-06-29	23:53:30	270	270	256.221	240.593	9.622	-6.007	9.682	6.084	*	2007-06-29 17:52:30	2007-06-29 23:53:30	2007-06-29 16:52:30	2007-06-29 22:53:30	2007-06-29 15:52:30	2007-06-29 21:53:30
57	2007-06-30	05:22:30	2007-06-30	12:53:31	315	315	249.928	234.207	9.672	-6.050	9.731	*	*	2007-06-30 05:22:30	2007-06-30 12:53:31	2007-06-30 04:22:30	2007-06-30 11:53:31	2007-06-30 03:22:30	2007-06-30 10:53:31
58	2007-07-04	12:22:30	2007-07-04	13:23:31	90	90	193.572	177.008	10.122	-6.442	10.172	*	*	2007-07-04 12:22:30	2007-07-04 13:23:31	2007-07-04 11:22:30	2007-07-04 12:23:31	2007-07-04 10:22:30	2007-07-04 11:23:31
59	2007-07-08	05:52:30	2007-07-08	06:53:32	90	90	144.608	127.300	10.515	-6.793	10.556	6.860	*	2007-07-08 05:52:30	2007-07-08 06:53:32	2007-07-08 04:52:30	2007-07-08 05:53:32	2007-07-08 03:52:30	2007-07-08 04:53:32
60	2007-07-08	20:22:30	2007-07-08	21:23:32	90	90	136.676	119.246	10.579	-6.851	10.618	6.917	17.534	2007-07-08 20:22:30	2007-07-08 21:23:32	2007-07-08 19:22:30	2007-07-08 20:23:32	2007-07-08 18:22:30	2007-07-08 19:23:32
61	2007-07-09	06:52:30	2007-07-09	*	45	*	130.932	113.414	10.625	-6.893	10.663	6.958	17.620	2007-07-09 06:52:30		2007-07-09 05:52:30		2007-07-09 04:52:30	
62	2007-07-10	00:22:30	2007-07-10	*	45	*	121.359	103.694	10.702	-6.963	10.738	7.027	17.764	2007-07-10 00:22:30		2007-07-09 23:22:30		2007-07-09 22:22:30	
63	2007-07-11	09:52:30	2007-07-11	13:53:32	90	90	103.034	85.086	10.849	-7.098	10.882	7.160	*	2007-07-11 09:52:30	2007-07-11 13:53:32	2007-07-11 08:52:30	2007-07-11 12:53:32	2007-07-11 07:52:30	2007-07-11 11:53:32
64	2007-07-16	13:52:30	2007-07-16	*	90	*	35.209	16.206	11.394	-7.609	11.411	7.660	*	2007-07-16 13:52:30		2007-07-16 12:52:30		2007-07-16 11:52:30	
65	2007-07-18	18:52:30	2007-07-18	*	270	*	6.222	346.764	11.628	-7.831	11.636	7.877	*	2007-07-18 18:52:30		2007-07-18 17:52:30		2007-07-18 16:52:30	
66	2007-07-29	02:22:30	2007-07-29	02:23:34	270	270	230.877	209.269	12.714	-8.894	12.684	*	*	2007-07-29 02:22:30	2007-07-29 02:23:34	2007-07-29 01:22:30	2007-07-29 01:23:34	2007-07-29 00:22:30	2007-07-29 00:23:34
67	2007-07-30	05:22:30	2007-07-30	05:53:34	270	270	216.114	194.270	12.832	-9.012	12.797	*	*	2007-07-30 05:22:30	2007-07-30 05:53:34	2007-07-30 04:22:30	2007-07-30 04:53:34	2007-07-30 03:22:30	2007-07-30 03:53:34
68	2007-08-02	20:22:30	2007-08-02	20:22:30	90	90	168.545	145.940	13.208	-9.397	13.160	*	*	2007-08-02 20:22:30	2007-08-02 20:22:30	2007-08-02 19:22:30	2007-08-02 19:22:30	2007-08-02 18:22:30	2007-08-02 18:22:30
69	2007-08-08	16:52:30	2007-08-08	17:22:30	90	90	91.728	67.895	13.805	-10.029	13.734	10.016	23.750	2007-08-08 16:52:30	2007-08-08 17:22:30	2007-08-08 15:52:30	2007-08-08 16:22:30	2007-08-08 14:52:30	2007-08-08 15:22:30
70	2007-08-18	18:52:30	2007-08-18	*	0	*	319.423	293.489	14.793	-11.141	14.689	11.095	25.784	2007-08-18 18:52:30		2007-08-18 17:52:30		2007-08-18 16:52:30	
71	2007-08-21	08:52:30	2007-08-21	10:53:33	270	270	285.526	259.060	15.037	-11.428	14.927	11.373	26.300	2007-08-21 08:52:30	2007-08-21 10:53:33	2007-08-21 07:52:30	2007-08-21 09:53:33	2007-08-21 06:52:30	2007-08-21 08:53:33
72	2007-08-24	04:22:30	2007-08-24	*	90	*	248.621	221.581	15.299	-11.741	15.182	11.678	*	2007-08-24 04:22:30		2007-08-24 03:22:30		2007-08-24 02:22:30	
73	2007-08-27	11:53:32	2007-08-27	09:22:30	45	45	206.521	178.832	15.591	-12.098	15.469	12.025	27.494	2007-08-27 11:53:32	2007-08-27 09:22:30	2007-08-27 10:53:32	2007-08-27 08:22:30	2007-08-27 09:53:32	2007-08-27 07:22:30
74	2007-08-31	21:52:30	2007-08-31	22:53:31	225	225	147.195	118.603	15.991	-12.601	15.863	12.516	28.379	2007-08-31 21:52:30	2007-08-31 22:53:31	2007-08-31 20:52:30	2007-08-31 21:53:31	2007-08-31 19:52:30	2007-08-31 20:53:31
75	2007-09-19	08:22:30	2007-09-19	14:53:27	225	225	265.174	233.099	17.436	-14.639	17.325	*	*	2007-09-19 08:22:30	2007-09-19 14:53:27	2007-09-19 07:22:30	2007-09-19 13:53:27	2007-09-19 06:22:30	2007-09-19 12:53:27
76	2007-09-24	14:22:30	2007-09-24	14:23:26	45	45	196.234	163.237	17.794	-15.203	17.698	15.087	32.785	2007-09-24 14:22:30	2007-09-24 14:23:26	2007-09-24 13:22:30	2007-09-24 13:23:26	2007-09-24 12:22:30	2007-09-24 12:23:26
77	2007-10-04	21:22:30	2007-10-04	*	90	*	61.048	26.350	18.423	-16.274	18.371	16.171	*	2007-10-04 21:22:30		2007-10-04 20:22:30		2007-10-04 19:22:30	
78	2007-10-08	17:22:30	2007-10-08	16:53:22	270	270	10.946	335.654	18.631	-16.661	18.598	16.566	35.164	2007-10-08 17:22:30	2007-10-08 16:53:22	2007-10-08 16:22:30	2007-10-08 15:53:22	2007-10-08 15:22:30	2007-10-08 14:53:22
79	2007-10-11	09:52:50	2007-10-11	10:23:41	90	270	335.365	299.665	18.770	-16.931	18.752	*	*	2007-10-11 09:52:50	2007-10-11 10:23:41	2007-10-11 08:52:50	2007-10-11 09:23:41	2007-10-11 07:52:50	2007-10-11 08:23:41
80	2007-10-15	11:22:30	2007-10-15	*	90	*	281.973	245.678	18.968	-17.327	18.972	17.254	*	2007-10-15 11:22:30		2007-10-15 10:22:30		2007-10-15 09:22:30	
81	2007-10-16	23:52:30	2007-10-16	22:23:19	45	45	262.796	226.293	19.036	-17.467	19.048	17.400	36.447	2007-10-16 23:52:30	2007-10-16 22:23:19	2007-10-16 22:52:30	2007-10-16 21:23:19	2007-10-16 21:52:30	2007-10-16 20:23:19
82	2007-10-22	03:22:30	2007-10-22	02:53:17	90	90	194.603	157.385	19.265	-17.953	19.306	17.908	37.213	2007-10-22 03:22:30	2007-10-22 02:53:17	2007-10-22 02:22:30	2007-10-22 01:53:17	2007-10-22 01:22:30	2007-10-22 00:53:17
83	2007-11-04	13:52:20	2007-11-04	20:23:02	45	45	17.639	338.741	19.772	-19.126	19.883	19.151	39.034	2007-11-04 13:52:20	2007-11-04 20:23:02	2007-11-04 12:52:20	2007-11-04 19:23:02	2007-11-04 11:52:20	2007-11-04 18:23:02
84	2007-11-12	04:22:20	2007-11-12	05:22:59	90	90	277.618	237.876	20.007	-19.736	20.149	*	*	2007-11-12 04:22:20	2007-11-12 05:22:59	2007-11-12 03:22:20	2007-11-12 04:22:59	2007-11-12 02:22:20	2007-11-12 03:22:59
85	2007-11-14	19:52:20	2007-11-14	19:52:58	225	225	242.813	202.794	20.081	-19.937	20.232	20.022	40.253	2007-11-14 19:52:20	2007-11-14 19:52:58	2007-11-14 18:52:20	2007-11-14 18:52:58	2007-11-14 17:52:20	2007-11-14 17:52:58
86	2007-11-16	10:52:20	2007-11-16	12:52:57	225	225	221.436	181.251	20.126	-20.059	20.281	20.152	40.433	2007-11-16 10:52:20	2007-11-16 12:52:57	2007-11-16 09:52:20	2007-11-16 11:52:57	2007-11-16 08:52:20	2007-11-16 10:52:57
87	2007-11-26	07:22:20	2007-11-26	06:52:53	90	90	92.068	50.946	20.377	-20.745	20.550	20.891	41.441	2007-11-26 07:22:20	2007-11-26 06:52:53	2007-11-26 06:22:20	2007-11-26 05:52:53	2007-11-26 05:22:20	2007-11-26 04:52:53
88	2007-12-01	00:22:20	2007-12-01	00:22:52	270	270	29.849	348.312	20.487	-21.050	20.661	21.217	41.877	2007-12-01 00:22:20	2007-12-01 00:22:52	2007-11-30 23:22:20	2007-11-30 23:22:52	2007-11-30 22:22:20	2007-11-30 22:22:52
89	2007-12-04	08:22:20	2007-12-04	08:22:51	270	270	345.994	304.179	20.560	-21.255	20.731	21.435	42.166	2007-12-04 08:22:20	2007-12-04 08:22:51	2007-12-04 07:22:20	2007-12-04 07:22:51	2007-12-04 06:22:20	2007-12-04 06:22:51
90	2007-12-05	09:52:20	2007-12-05	19:22:50	135	135	332.015	290.114	20.582	-21.319	20.753	*	*	2007-12-05 09:52:20	2007-12-05 19:22:50	2007-12-05 08:52:20	2007-12-05 18:22:50	2007-12-05 07:52:20	2007-12-05 17:22:50
91	2007-12-15	05:52:20	2007-12-15	06:52:47	315	315	202.649	159.998	20.781	-21.870	20.929	*	*	2007-12-15 05:52:20	2007-12-15 06:52:47	2007-12-15 04:52:20	2007-12-15 05:52:47	2007-12-15 03:52:20	2007-12-15 04:52:47
92	2007-12-31	01:22:20	2007-12-31	01:52:42	135	135	354.661	310.969	21.093	-22.599	21.169	22.801	43.969	2007-12-31 01:22:20	2007-12-31 01:52:42	2007-12-31 00:22:20	2007-12-31 00:52:42	2007-12-30 23:22:20	2007-12-30 23:52:42
93	2008-01-02	10:22:20	2008-01-02	11:22:41	90	90	323.427	279.594	21.139	-22.694	21.201	22.889	44.090	2008-01-02 10:22:20	2008-01-02 11:22:41	2008-01-02 09:22:20	2008-01-02 10:22:41	2008-01-02 08:22:20	2008-01-02 09:22:41
94	2008-01-08	*	2008-01-08	01:52:40	*	90	249.184	205.033	21.248	-22.904	21.277	23.080	44.356		2008-01-08 01:52:40		2008-01-08 00:52:40		2008-01-07 23:52:40
95	2008-01-22	23:52:20	2008-01-22	23:52:38	180	135	53.077	8.172	21.558	-23.347	21.495	23.442	44.937	2008-01-22 23:52:20	2008-01-22 23:52:38	2008-01-22 22:52:20	2008-01-22 22:52:38	2008-01-22 21:52:20	2008-01-22 21:52:38
96	2008-01-29	00:22:20	2008-01-29	00:22:37	270	270	333.940	288.763	21.695	-23.482	21.598	23.536	45.134	2008-01-29 00:22:20	2008-01-29 00:22:37	2008-01-28 23:22:20	2008-01-28 23:22:37	2008-01-28 22:22:20	2008-01-28 22:22:37
97	2008-01-30	09:22:20	2008-01-30	09:52:37	45	45	315.869	270.632	21.727	-23.510	21.623	23.554	45.177	2008-01-30 09:22:20	2008-01-30 09:52:37	2008-01-30 08:22:20	2008-01-30 08:52:37	2008-01-30 07:22:20	2008-01-30 07:52:37
98	2008-02-01	02:22:20	2008-02-01	*	90	*	293.417	248.106	21.767	-23.543	21.655	23.575	*	2008-02-01 02:22:20		2008-02-01 01:22:20		2008-02-01 00:22:20	
99	2008-02-04	09:52:20	2008-02-04	*	90	*	249.884	204.434	21.847	-23.603	21.719	23.611	45.330	2008-02-04 09:52:20		2008-02-04 08:52:20		2008-02-04 07:52:20	
100	2008-02-12	07:52:20	2008-02-12	09:22:36	225	225	145.851	100.084	22.048	-23.719	21.891	23.672	45.562	2008-02-12 07:52:20	2008-02-12 09:22:36	2008-02-12 06:52:20	2008-02-12 08:22:36	2008-02-12 05:52:20	2008-02-12 07:22:36
101	2008-02-13	12:52:20	2008-02-13	*	45	*	129.973	84.159	22.080	-23.733	21.920	23.678	45.598	2008-02-13 12:52:20		2008-02-13 11:52:20		2008-02-13 10:52:20	
102	2008-02-15	09:52:20	2008-02-15	10:52:36	90	90	105.335	59.450	22.132	-23.753	21.967	23.686	45.653	2008-02-15 09:52:20	2008-02-15 10:52:36	2008-02-15 08:52:20	2008-02-15 09:52:36	2008-02-15 07:52:20	2008-02-15 08:52:36
103	2008-02-16	21:22:20	2008-02-16	23:52:36	90	90	85.899	39.957	22.174	-23.768	22.006	*	*	2008-02-16 21:22:20	2008-02-16 23:52:36	2008-02-16 20:22:20	2008-02-16 22:52:36	2008-02-16 19:22:20	2008-02-16 21:52:36
104	2008-02-23	20:52:20	2008-02-23	17:52:37	45	45	355.838	309.639	22.379	-23.820	22.203	23.702	45.905	2008-02-23 20:52:20	2008-02-23 17:52:37	2008-02-23 19:52:20	2008-02-23 16:52:37	2008-02-23 18:52:20	2008-02-23 15:52:37
105	2008-02-27	12:52:20	2008-02-27	10:22:37	270	270	307.387	261.051	22.496	-23.839	22.320	23.703	46.023	2008-02-27 12:52:20	2008-02-27 10:22:37	2008-02-27 11:52:20	2008-02-27 09:22:37	2008-02-27 10:52:20	2008-02-27 08:22:37
106	2008-03-14	18:22:20	2008-03-14	*	270	*	92.776	45.816	23.084	-23.877	22.944	23.693	46.638	2008-03-14 18:22:20		2008-03-14 17:22:20		2008-03-14 16:22:20	
107	2008-03-17	15:52:20	2008-03-17	12:52:40	270	270	56.367	9.293	23.198	-23.876	23.071	23.691	46.762	2008-03-17 15:52:20	2008-03-17 12:52:40	2008-03-17 14:52:20	2008-03-17 11:52:40	2008-03-17 13:52:20	2008-03-17 10:52:40
108	2008-03-18	10:22:20	2008-03-18	10:52:41	135	135	44.596	357.484	23.236	-23.876	23.113	*	*	2008-03-18 10:22:20	2008-03-18 10:52:41	2008-03-18 09:22:20	2008-03-18 09:52:41	2008-03-18 08:22:20	2008-03-18 08:52:41
109	2008-03-22	15:22:20	2008-03-22	17:52:42	90	90	349.297	302.003	23.422	-23.872	23.319	23.689	47.008	2008-03-22 15:22:20	2008-03-22 17:52:42	2008-03-22 14:22:20	2008-03-22 16:52:42	2008-03-22 13:22:20	2008-03-22 15:52:42
