paths,mean,std
/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_011200_d4c2a.fts,1191.8556151390076,682.3413004909432
/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_001200_d4c2a.fts,1191.906397819519,683.0018350742981
/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_144200_d4c2a.fts,1192.0284390449524,682.9703780120134
/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_134200_d4c2a.fts,1191.8859238624573,682.5148028459159
/gehme/data/stereo/secchi/L0/a/img/cor2/20070307/20070307_061200_d4c2a.fts,1191.1954898834229,681.3476986376753
/gehme/data/stereo/secchi/L0/a/img/cor2/20070307/20070307_051200_d4c2a.fts,1191.1411480903625,681.488519971722
/gehme/data/stereo/secchi/L0/a/img/cor2/20070320/20070320_134200_d4c2a.fts,1194.3423624038696,686.2352706775781
/gehme/data/stereo/secchi/L0/a/img/cor2/20070320/20070320_124200_d4c2a.fts,1194.3631029129028,685.9809839028006
/gehme/data/stereo/secchi/L0/a/img/cor2/20070321/20070321_044200_d4c2a.fts,1194.7199492454529,686.7553971878979
/gehme/data/stereo/secchi/L0/b/img/cor2/20070321/20070321_034200_d4c2b.fts,1114.4980750083923,1555.7098335530638
/gehme/data/stereo/secchi/L0/a/img/cor2/20070321/20070321_034200_d4c2a.fts,1194.5972075462341,686.6496662000357
/gehme/data/stereo/secchi/L0/b/img/cor2/20070321/20070321_024200_d4c2b.fts,1114.732144832611,1556.7336923271193
/gehme/data/stereo/secchi/L0/a/img/cor2/20070327/20070327_131200_d4c2a.fts,1196.6069931983948,688.2400104816749
/gehme/data/stereo/secchi/L0/b/img/cor2/20070327/20070327_141200_d4c2b.fts,1111.2164106369019,1546.4135948551577
/gehme/data/stereo/secchi/L0/a/img/cor2/20070327/20070327_121200_d4c2a.fts,1196.7107548713684,688.2313586558765
/gehme/data/stereo/secchi/L0/b/img/cor2/20070327/20070327_131200_d4c2b.fts,1111.228991985321,1546.1028942574387
/gehme/data/stereo/secchi/L0/a/img/cor2/20070331/20070331_090730_d4c2a.fts,1196.36457157135,688.7497217812748
/gehme/data/stereo/secchi/L0/b/img/cor2/20070331/20070331_083730_d4c2b.fts,1108.866355419159,1540.590271823375
/gehme/data/stereo/secchi/L0/a/img/cor2/20070331/20070331_073730_d4c2a.fts,1196.3636717796326,689.1028918184116
